step,portfolio_value,balance,unrealized_pnl
0,10000.000012023376,9999.999966836842,4.518653370684237e-05
1,9999.998110883991,9999.99997058733,-0.0018597033389851209
2,9999.996335872975,9999.99997058733,-0.0036347143567211524
3,9999.9965446978,9999.99997058733,-0.0034258895311051482
4,9999.992953397566,9999.99650152602,-0.0035481284534166465
5,9999.9848168693,9999.99650152602,-0.011684656719795253
6,9999.987618177936,9999.99650152602,-0.008883348083483802
7,9999.979483482031,9999.98757227712,-0.008088795088456585
8,9999.969258388546,9999.979437978534,-0.01017958998883125
9,9999.96316426894,9999.979437978534,-0.016273709594916978
10,9999.966176949045,9999.979437978534,-0.013261029488774343
11,9999.952844909853,9999.96612885914,-0.013283949286707645
12,9999.952475646442,9999.96612885914,-0.013653212697857868
13,9999.95261316523,9999.96612885914,-0.013515693910257502
14,9999.939741941293,9999.952564947976,-0.01282300668382366
15,9999.925503515795,9999.939694070423,-0.014190554627186746
16,9999.923417814183,9999.939694070423,-0.016276256239131606
17,9999.92117422063,9999.939694070423,-0.018519849792396053
18,9999.917881409661,9999.939694070423,-0.02181266076216978
19,9999.917573265711,9999.939694070423,-0.022120804712163978
20,9999.918276139513,9999.939694070423,-0.021417930908871622
21,9999.897547113253,9999.918223970695,-0.020676857442356
22,9999.87527009789,9999.897495315014,-0.02222521712497198
23,9999.874172494232,9999.897495315014,-0.023322820781563586
24,9999.874233613693,9999.897495315014,-0.02326170132040756
25,9999.850832235661,9999.874180522886,-0.02334828722371207
26,9999.850931554785,9999.874180522886,-0.02324896809933332
27,9999.82870673275,9999.850878470346,-0.02217173759646094
28,9999.806215051747,9999.828654186986,-0.02243913523901779
29,9999.808636910395,9999.828654186986,-0.020017276590715623
30,9999.789935713336,9999.808585441982,-0.018649728647352537
31,9999.766332910012,9999.789884928774,-0.023552018760898265
32,9999.745761118045,9999.789884928774,-0.044123810728285945
33,9999.711694148384,9999.745697595003,-0.03400344661855586
34,9999.684345193627,9999.711635686095,-0.027290492468267105
35,9999.654020021995,9999.684290088195,-0.03027006619961682
36,9999.660865401645,9999.684290088195,-0.023424686550156962
37,9999.632844329506,9999.660812229335,-0.02796789982941153
38,9999.636470750867,9999.660812229335,-0.024341478467495122
39,9999.622043207099,9999.63641712011,-0.014373913010654268
40,9999.602937368967,9999.621994560688,-0.01905719172172493
41,9999.601944177723,9999.621994560688,-0.02005038296550854
42,9999.599677664371,9999.621994560688,-0.022316896316706292
43,9999.599512132498,9999.621994560688,-0.02248242819067032
44,9999.597515563433,9999.621994560688,-0.02447899725509604
45,9999.589200770071,9999.621994560688,-0.032793790616512365
46,9999.59017868145,9999.621994560688,-0.03181587923801818
47,9999.553927752426,9999.59012131307,-0.03619356064330872
48,9999.554768145017,9999.59012131307,-0.035353168052415444
49,9999.522485665479,9999.55470900779,-0.032223342312390574
50,9999.487477295077,9999.522428093343,-0.03495079826647231
51,9999.486257452498,9999.522428093343,-0.03617064084537541
52,9999.485821976337,9999.522428093343,-0.03660611700611147
53,9999.49015636479,9999.522428093343,-0.03227172855247235
54,9999.457531629178,9999.49009876846,-0.03256713928139286
55,9999.45787797279,9999.49009876846,-0.03222079566817594
56,9999.426012162623,9999.457820401929,-0.03180823930537374
57,9999.391829112523,9999.425954798064,-0.03412568554086791
58,9999.393611763473,9999.425954798064,-0.03234303459048744
59,9999.369747448301,9999.393554131484,-0.023806683182380876
60,9999.343776233734,9999.369694084971,-0.025917851236474214
61,9999.338700771814,9999.369694084971,-0.030993313156628403
62,9999.332247575374,9999.369694084971,-0.03744650959700474
63,9999.333969106863,9999.369694084971,-0.03572497810778085
64,9999.295324924151,9999.333909783712,-0.03858485956103315
65,9999.297387705965,9999.333909783712,-0.03652207774702159
66,9999.26214034804,9999.297327984219,-0.03518763617845142
67,9999.226272276223,9999.26208129359,-0.035809017366869623
68,9999.227726410068,9999.26208129359,-0.034354883520202585
