entry_time,exit_time,side,entry_price,exit_price,position_value,pnl_pct,pnl_net,exit_reason,hold_candles
2025-10-07 18:25:00,2025-10-07 20:25:00,LONG,120711.7,122142.9,8193.740234375,0.04742539455578861,384.49449308051095,ML Exit (0.709),23
2025-10-07 20:25:00,2025-10-07 23:40:00,SHORT,122142.9,121422.6,9531.041375238752,0.023588763653065004,220.0599616804712,ML Exit (0.774),38
2025-10-08 00:45:00,2025-10-08 01:10:00,SHORT,121936.3,121663.2,8571.079651553855,0.008958776016658069,72.50084299342976,ML Exit (0.752),4
2025-10-08 03:20:00,2025-10-08 10:20:00,LONG,121513.3,122588.4,9950.105527302323,0.03539036467612981,347.16281041355296,ML Exit (0.722),83
2025-10-08 10:20:00,2025-10-08 13:40:00,SHORT,122588.4,121842.2,9194.682108855459,0.024348143870056127,219.27610177141608,ML Exit (0.914),39
2025-10-08 13:40:00,2025-10-08 17:50:00,LONG,121842.2,123969.4,9305.859299365302,0.06983458932947688,645.2179328793867,ML Exit (0.826),49
2025-10-08 17:50:00,2025-10-08 19:05:00,SHORT,123969.4,123290.2,10978.713254863944,0.02191508549690479,235.1100829989132,ML Exit (0.752),14
2025-10-08 19:05:00,2025-10-08 19:10:00,SHORT,123290.2,123200.1,9773.540304389062,0.0029231844866823564,23.683091245560334,ML Exit (0.797),0
2025-10-08 19:10:00,2025-10-08 19:15:00,SHORT,123200.1,123221.6,10098.435042349121,-0.0006980513814518007,-12.098444052987638,ML Exit (0.807),0
2025-10-08 19:15:00,2025-10-08 20:55:00,SHORT,123221.6,122786.4,10009.21442937318,0.014127393249235901,136.39950114499464,ML Exit (0.870),19
2025-10-08 21:40:00,2025-10-08 21:45:00,SHORT,123264.6,123125.3,9922.414984677649,0.0045203570205883245,39.89165074483958,ML Exit (0.741),0
2025-10-08 22:05:00,2025-10-09 02:40:00,SHORT,123353.3,121637.4,10557.588578238334,0.05564180285407877,582.1644679956919,ML Exit (0.916),54
2025-10-09 03:30:00,2025-10-09 03:35:00,SHORT,122000.7,121987.9,10605.670268430804,0.0004196697232066016,-0.8519564282425627,ML Exit (0.747),0
2025-10-09 03:35:00,2025-10-09 03:40:00,SHORT,121987.9,121849.5,10959.945410964117,0.004538155013734778,44.25795851154423,ML Exit (0.849),0
2025-10-09 03:40:00,2025-10-09 04:00:00,SHORT,121849.5,121951.9,10557.89778320616,-0.0033615238470406255,-40.76957406446794,ML Exit (0.763),3
2025-10-09 04:00:00,2025-10-09 04:05:00,SHORT,121951.9,121885.8,11235.290014778893,0.0021680679021808197,18.741226645345343,ML Exit (0.824),0
2025-10-09 04:05:00,2025-10-09 04:10:00,SHORT,121885.8,121847.0,11211.078671442616,0.0012733230614231652,8.669785680055956,ML Exit (0.836),0
2025-10-09 04:10:00,2025-10-09 08:25:00,SHORT,121847.0,121135.1,11133.023916038816,0.02337029225175816,254.61551060562078,ML Exit (0.882),50
2025-10-09 12:05:00,2025-10-09 15:40:00,SHORT,122978.7,120733.8,10585.796012756759,0.07301752254658715,767.6557010286606,ML Exit (0.714),42
2025-10-09 15:40:00,2025-10-09 16:05:00,SHORT,120733.8,121159.1,12431.534757382502,-0.014090503239358088,-181.38234814778207,ML Exit (0.703),4
2025-10-09 16:05:00,2025-10-09 16:20:00,SHORT,121159.1,121023.4,11409.670135897599,0.004480059690110331,45.411168185341694,ML Exit (0.764),2
2025-10-09 16:20:00,2025-10-09 16:30:00,SHORT,121023.4,121121.0,11407.063352337682,-0.0032258224442547746,-42.50069266117585,ML Exit (0.754),1
2025-10-09 16:30:00,2025-10-09 16:35:00,SHORT,121121.0,121135.4,11490.681717598614,-0.00047555750035069657,-11.209820733745953,ML Exit (0.822),0
2025-10-09 16:35:00,2025-10-09 16:40:00,SHORT,121135.4,120751.0,11644.804965590698,0.01269323418257567,141.9878339558674,ML Exit (0.780),0
2025-10-09 16:40:00,2025-10-09 16:50:00,SHORT,120751.0,120253.9,11415.186734387122,0.01646694437313168,182.26565159686984,ML Exit (0.875),1
2025-10-09 16:55:00,2025-10-10 03:00:00,LONG,119752.0,120903.7,11818.422858594238,0.038469503640857675,448.7396497585895,Max Hold (120 candles),120
2025-10-10 13:35:00,2025-10-10 14:10:00,SHORT,122363.4,121603.6,11957.470517104863,0.024837492256671142,291.01484611941305,ML Exit (0.827),6
2025-10-10 15:00:00,2025-10-10 21:15:00,SHORT,120022.2,103583.9,11846.678369146242,0.5478419825665586,6484.184425396869,ML Exit (0.788),74
2025-10-10 21:15:00,2025-10-10 23:35:00,LONG,103583.9,114245.5,19468.298863288135,0.4117087694130075,8005.535218137366,ML Exit (0.713),27
2025-10-10 23:35:00,2025-10-11 01:35:00,SHORT,114245.5,111813.6,24783.87785562742,0.08514646091093284,2097.8675481277005,ML Exit (0.730),23
2025-10-11 01:40:00,2025-10-11 02:40:00,LONG,111208.4,113136.2,26751.23759439068,0.06934008582085537,1841.5574918119469,ML Exit (0.888),11
2025-10-11 02:40:00,2025-10-11 03:35:00,SHORT,113136.2,111856.5,29355.196241967908,0.04524458130996081,1313.485965118589,ML Exit (0.811),10
