start_idx,end_idx,regime,return,bh_return,difference,num_trades,num_long,num_short,win_rate,long_win_rate,short_win_rate,final_capital,avg_position_size,liquidations
0,1440,Sideways,15.523400774660386,2.270613143709525,13.252787630950861,21,18,3,66.66666666666666,61.111111111111114,100.0,11552.340077466039,53.14462743202847,0
288,1728,Bull,20.487597304343744,5.103009780553955,15.38458752378979,24,20,4,66.66666666666666,65.0,75.0,12048.759730434374,53.94587523986897,0
576,2016,Sideways,45.479985254086714,0.8540254255126348,44.62595982857408,35,26,9,74.28571428571429,69.23076923076923,88.88888888888889,14547.998525408671,54.633677942838,0
864,2304,Sideways,41.61610077481733,-0.8821312776866527,42.49823205250399,35,24,11,71.42857142857143,70.83333333333334,72.72727272727273,14161.610077481733,54.51382791399955,0
1152,2592,Sideways,32.02229206052105,-1.019369103892871,33.041661164413924,25,15,10,76.0,80.0,70.0,13202.229206052105,54.55775662064553,0
1440,2880,Sideways,29.90719244378173,-2.0224330193216757,31.929625463103406,22,12,10,77.27272727272727,83.33333333333334,70.0,12990.719244378173,54.626730891791276,0
1728,3168,Bear,32.55116968069686,-5.007577063064752,37.55874674376161,23,13,10,82.6086956521739,84.61538461538461,80.0,13255.116968069686,54.11772205129915,0
2016,3456,Bear,12.740557148525223,-3.4807165500074513,16.221273698532674,20,13,7,65.0,61.53846153846154,71.42857142857143,11274.055714852522,52.92105655893684,0
2304,3744,Bear,13.790062532541178,-2.769693514385452,16.55975604692663,22,17,5,59.09090909090909,52.94117647058824,80.0,11379.006253254118,53.61521815034477,0
2592,4032,Bear,11.216178244232704,-4.156482182930378,15.372660427163083,27,21,6,51.85185185185185,47.61904761904761,66.66666666666666,11121.61782442327,53.469293545793604,0
2880,4320,Sideways,27.78605071800194,-0.5914351004940368,28.377485818495977,33,27,6,60.60606060606061,59.25925925925925,66.66666666666666,12778.605071800193,54.38338419524107,0
3168,4608,Sideways,20.104623648359084,-1.2902703983353763,21.39489404669446,29,23,6,58.620689655172406,56.52173913043478,66.66666666666666,12010.462364835908,54.11113308370115,0
3456,4896,Sideways,16.325930309102915,-0.12441993896738279,16.450350248070297,24,21,3,58.333333333333336,57.14285714285714,66.66666666666666,11632.593030910291,54.67968901557227,0
3744,5184,Bear,24.322635109761958,-3.9558627095326924,28.27849781929465,26,20,6,65.38461538461539,60.0,83.33333333333334,12432.263510976196,55.0851860636702,0
4032,5472,Sideways,38.341979820537595,-1.1013726303965132,39.44335245093411,30,23,7,73.33333333333333,69.56521739130434,85.71428571428571,13834.19798205376,56.02688498646021,0
4320,5760,Bear,26.821954644665585,-4.493761894214929,31.315716538880515,31,23,8,64.51612903225806,60.86956521739131,75.0,12682.195464466558,54.983120961535356,0
4608,6048,Bear,27.318432171886414,-2.7693973624172257,30.08782953430364,36,29,7,58.333333333333336,55.172413793103445,71.42857142857143,12731.843217188642,55.30303364702396,0
4896,6336,Bear,35.46132155088375,-4.396579565137811,39.857901116021566,38,27,11,63.1578947368421,55.55555555555556,81.81818181818183,13546.132155088375,55.17479253246594,0
5184,6624,Sideways,19.681715493081192,-1.3327767724161472,21.01449226549734,30,23,7,56.666666666666664,52.17391304347826,71.42857142857143,11968.17154930812,55.31184846808513,0
5472,6912,Sideways,13.65556620134521,-2.03899820774509,15.6945644090903,21,15,6,57.14285714285714,46.666666666666664,83.33333333333334,11365.556620134521,55.03407074794884,0
5760,7200,Bear,13.616167941093954,-3.5276730419637223,17.143840983057675,20,14,6,60.0,50.0,83.33333333333334,11361.616794109395,56.268134838342675,0
6048,7488,Sideways,25.20501111926533,-0.46766050225535183,25.67267162152068,24,17,7,70.83333333333334,64.70588235294117,85.71428571428571,12520.501111926533,56.83409574627877,0
6336,7776,Bull,20.97905369222244,3.2718140974385665,17.70723959478387,19,16,3,68.42105263157895,68.75,66.66666666666666,12097.905369222244,57.194182209278424,0
6624,8064,Sideways,15.852706090869233,1.6634538111162254,14.189252279753008,22,18,4,54.54545454545454,55.55555555555556,50.0,11585.270609086923,56.050250041213914,0
6912,8352,Sideways,19.84152438298299,1.6057605472534597,18.23576383572953,30,24,6,56.666666666666664,54.166666666666664,66.66666666666666,11984.152438298299,55.08483686447144,0
7200,8640,Sideways,17.581254605298092,2.1740653023939758,15.407189302904117,23,19,4,60.86956521739131,57.89473684210527,75.0,11758.125460529809,54.46370097994805,0
7488,8928,Sideways,3.216466085731281,-0.3090302080183232,3.525496293749604,15,12,3,46.666666666666664,41.66666666666667,66.66666666666666,10321.646608573128,52.819415835539495,0
7776,9216,Sideways,4.477300824820886,0.20809856685962017,4.269202257961266,15,12,3,60.0,58.333333333333336,66.66666666666666,10447.730082482089,52.5832464714845,0
8064,9504,Sideways,8.75616037012429,0.8882820398117095,7.86787833031258,15,10,5,73.33333333333333,70.0,80.0,10875.616037012429,52.40450434883436,0
8352,9792,Sideways,10.097210826858573,2.5899985821866682,7.507212244671905,12,9,3,83.33333333333334,88.88888888888889,66.66666666666666,11009.721082685857,52.60124202445149,0
8640,10080,Bull,15.032295787920575,3.882065420730484,11.15023036719009,16,11,5,87.5,90.9090909090909,80.0,11503.229578792058,53.1697726873681,0
8928,10368,Bull,17.395555837234934,4.252448541834876,13.143107295400057,18,13,5,83.33333333333334,84.61538461538461,80.0,11739.555583723493,53.050307001504635,0
9216,10656,Bull,13.73789906856151,3.2652628576623686,10.472636210899143,16,11,5,75.0,72.72727272727273,80.0,11373.789906856151,53.08046897407621,0
9504,10944,Bull,10.031345172732125,3.9177777219424472,6.113567450789678,11,9,2,72.72727272727273,66.66666666666666,100.0,11003.134517273213,54.48910907994616,0
9792,11232,Sideways,9.102725499866102,1.4341604033618227,7.668565096504279,10,7,3,80.0,71.42857142857143,100.0,10910.27254998661,54.47291999757292,0
10080,11520,Sideways,8.877717322321441,1.8614519495474038,7.016265372774037,10,9,1,80.0,77.77777777777779,100.0,10887.771732232144,53.91705642640592,0
10368,11808,Sideways,7.7047134144263865,-0.1265983262261718,7.831311740652558,9,7,2,88.88888888888889,85.71428571428571,100.0,10770.471341442639,55.14848845534854,0
10656,12096,Sideways,9.938643139524611,1.2409272656983437,8.697715873826267,13,11,2,76.92307692307693,72.72727272727273,100.0,10993.864313952461,54.432750703050544,0
10944,12384,Sideways,10.756478840167274,-0.5506070377894144,11.307085877956688,14,11,3,78.57142857142857,72.72727272727273,100.0,11075.647884016727,54.07537640737636,0
11232,12672,Sideways,6.555340285420424,0.32703274608093963,6.228307539339485,10,8,2,70.0,62.5,100.0,10655.534028542043,53.98228675872089,0
11520,12960,Sideways,3.7320783723789464,-1.1782215588216938,4.91029993120064,8,6,2,62.5,50.0,100.0,10373.207837237895,54.01311088539661,0
11808,13248,Bear,3.466216689450066,-2.71259271538045,6.178809404830516,6,5,1,66.66666666666666,60.0,100.0,10346.621668945007,52.66330875704687,0
12096,13536,Bear,5.032221573118295,-4.575168451061345,9.60739002417964,7,5,2,71.42857142857143,60.0,100.0,10503.22215731183,53.92854343567577,0
12384,13824,Sideways,6.161004886213777,-1.7518371385228717,7.912842024736649,9,8,1,66.66666666666666,62.5,100.0,10616.100488621378,54.45721943510904,0
12672,14112,Bear,5.405011992236268,-5.853712628599047,11.258724620835316,15,12,3,53.333333333333336,58.333333333333336,33.33333333333333,10540.501199223627,54.22856767177583,0
12960,14400,Bear,9.713059588163015,-5.201186834529879,14.914246422692894,21,18,3,52.38095238095239,55.55555555555556,33.33333333333333,10971.305958816301,55.041276899122074,0
13248,14688,Bear,6.593778234403362,-3.0930765201344674,9.68685475453783,18,15,3,50.0,53.333333333333336,33.33333333333333,10659.377823440336,54.93249324129689,0
13536,14976,Sideways,5.241488074074787,-1.3375690546601222,6.579057128734909,15,13,2,46.666666666666664,53.84615384615385,0.0,10524.148807407479,55.21976809302968,0
13824,15264,Sideways,8.528116338496512,0.5189902203162086,8.009126118180303,16,14,2,50.0,57.14285714285714,0.0,10852.811633849651,55.552240747958436,0
14112,15552,Bull,10.921508017004927,4.657530501896513,6.263977515108413,13,13,0,61.53846153846154,61.53846153846154,0.0,11092.150801700493,55.77491839115436,0
14400,15840,Bull,10.759411985906135,7.248375460768837,3.511036525137299,12,11,1,66.66666666666666,72.72727272727273,0.0,11075.941198590614,54.40450460836293,0
14688,16128,Bull,16.657892617539673,9.833426283858959,6.824466333680714,19,16,3,63.1578947368421,68.75,33.33333333333333,11665.789261753967,53.75580626961434,0
