start_idx,end_idx,regime,xgb_return,bh_return,difference,num_trades,num_long,num_short,win_rate,win_rate_long,win_rate_short,sharpe,max_dd
0,1440,Sideways,3.3119472941843737,2.473028405647383,0.8389188885369907,9,9,0,88.88888888888889,88.88888888888889,0.0,13.068643551923794,0.17288892699168965
1440,2880,Bull,10.353458735272252,8.03813659558464,2.315322139687611,15,13,2,60.0,61.53846153846154,50.0,11.418598512005595,0.09686700752148136
2880,4320,Sideways,2.1094517293321404,1.5748336042585827,0.5346181250735578,13,13,0,53.84615384615385,53.84615384615385,0.0,3.331944220462302,3.5912105796195415
4320,5760,Sideways,3.4270570404085996,-1.2266906927041816,4.653747733112781,14,12,2,78.57142857142857,91.66666666666666,0.0,8.599908946579612,1.1066353718320316
5760,7200,Sideways,8.286511699184521,0.03951854825241705,8.246993150932104,18,18,0,72.22222222222221,72.22222222222221,0.0,11.069918878773954,1.0730001966133824
7200,8640,Sideways,-0.16861753870480242,-0.5108854068724317,0.3422678681676292,13,12,1,61.53846153846154,66.66666666666666,0.0,0.7791280685806079,1.5146945500744076
8640,10080,Bear,2.7550277626300526,-3.3590363127303107,6.114064075360363,11,11,0,72.72727272727273,72.72727272727273,0.0,7.741001271457727,0.49743207652764126
10080,11520,Bull,1.9973868958304595,4.403234106157836,-2.4058472103273765,9,7,2,77.77777777777779,85.71428571428571,50.0,7.859158375048466,1.0107663122727326
11520,12960,Sideways,5.899589042707557,-1.084716428085674,6.984305470793231,17,16,1,76.47058823529412,75.0,100.0,6.938978097170813,2.4416566798282577
12960,14400,Bear,-1.8342376865278676,-3.1152001581833435,1.280962471655476,12,12,0,50.0,50.0,0.0,-2.491669543882685,3.2900016894524744
14400,15840,Sideways,2.745152618942357,-1.1200991381738272,3.865251757116184,14,11,3,50.0,63.63636363636363,0.0,3.896323527665991,2.409579198069554
15840,17280,Bear,5.442372082522542,-3.3298183470946454,8.772190429617188,17,16,1,52.94117647058824,50.0,100.0,8.24552155479032,1.041500346482603
17280,18720,Sideways,4.820876005618193,1.1915368361792948,3.6293391694388983,11,10,1,63.63636363636363,70.0,0.0,9.375073949455288,0.9072334549992798
18720,20160,Sideways,3.7594978549973534,0.8255066612031196,2.933991193794234,12,10,2,83.33333333333334,80.0,100.0,10.41274404606522,1.3527769263995923
20160,21600,Bull,4.091802882066094,3.9272006569232705,0.16460222514282385,6,6,0,100.0,100.0,0.0,30.89234854085727,0.0
21600,23040,Sideways,2.447875799565172,-0.010125835177738289,2.4580016347429106,9,9,0,77.77777777777779,77.77777777777779,0.0,16.9551387827267,0.043051854868088116
23040,24480,Sideways,2.4565990840312226,-1.5947964608823166,4.0513955449135395,6,6,0,66.66666666666666,66.66666666666666,0.0,17.05127400452629,0.031049459552078412
24480,25920,Sideways,1.835900340052867,0.26696185254911414,1.5689384875037529,9,9,0,55.55555555555556,55.55555555555556,0.0,6.151252009717647,0.54149863582719
25920,27360,Bull,5.484138608348039,6.768516237696724,-1.2843776293486844,12,12,0,75.0,75.0,0.0,15.095014479214127,0.3495275595419138
27360,28800,Sideways,4.699852285026736,-0.7849400299850099,5.484792315011746,16,16,0,68.75,68.75,0.0,6.814210609876128,1.291204665601554
28800,30240,Bear,-9.52544548729522,-6.3843160203858496,-3.141129466909371,28,23,5,42.857142857142854,47.82608695652174,20.0,-2.385436657409664,14.706904963095916
