start_idx,end_idx,regime,return,bh_return,difference,num_trades,num_long,num_short,win_rate,long_win_rate,short_win_rate,debug
0,1440,Sideways,-1.054633116776804,1.7278348959956829,-2.782468012772487,24,1,23,45.83333333333333,100.0,43.47826086956522,"{'total_candles': 1440, 'long_nan_features': 0, 'short_nan_features': 0, 'long_prob_checks': 311, 'short_prob_checks': 311, 'long_entries': 1, 'short_entries': 24, 'long_prob_max': np.float32(0.7732304), 'short_prob_max': np.float32(0.6917096)}"
1440,2880,Bull,-1.9149193220927008,8.44825051107726,-10.36316983316996,27,3,24,48.148148148148145,66.66666666666666,45.83333333333333,"{'total_candles': 1440, 'long_nan_features': 0, 'short_nan_features': 0, 'long_prob_checks': 211, 'short_prob_checks': 211, 'long_entries': 3, 'short_entries': 24, 'long_prob_max': np.float32(0.9186882), 'short_prob_max': np.float32(0.8259799)}"
2880,4320,Sideways,-1.347889088567681,0.5751983497490843,-1.9230874383167653,28,3,25,42.857142857142854,33.33333333333333,44.0,"{'total_candles': 1440, 'long_nan_features': 0, 'short_nan_features': 0, 'long_prob_checks': 212, 'short_prob_checks': 212, 'long_entries': 4, 'short_entries': 25, 'long_prob_max': np.float32(0.9064389), 'short_prob_max': np.float32(0.7032008)}"
4320,5760,Sideways,2.7217459045464967,0.053633274166981375,2.6681126303795155,26,2,24,50.0,100.0,45.83333333333333,"{'total_candles': 1440, 'long_nan_features': 0, 'short_nan_features': 0, 'long_prob_checks': 282, 'short_prob_checks': 282, 'long_entries': 3, 'short_entries': 24, 'long_prob_max': np.float32(0.8893434), 'short_prob_max': np.float32(0.6698758)}"
5760,7200,Sideways,3.8756441100792474,-0.607554758258879,4.4831988683381265,25,7,18,52.0,71.42857142857143,44.44444444444444,"{'total_candles': 1440, 'long_nan_features': 0, 'short_nan_features': 0, 'long_prob_checks': 300, 'short_prob_checks': 300, 'long_entries': 7, 'short_entries': 18, 'long_prob_max': np.float32(0.84592974), 'short_prob_max': np.float32(0.73949766)}"
7200,8640,Sideways,-0.9365516359056528,0.3033697302989974,-1.2399213662046502,23,3,20,43.47826086956522,66.66666666666666,40.0,"{'total_candles': 1440, 'long_nan_features': 0, 'short_nan_features': 0, 'long_prob_checks': 357, 'short_prob_checks': 357, 'long_entries': 3, 'short_entries': 21, 'long_prob_max': np.float32(0.784014), 'short_prob_max': np.float32(0.61684775)}"
8640,10080,Bear,0.5264027462166087,-3.483027796921668,4.009430543138277,25,4,21,52.0,50.0,52.38095238095239,"{'total_candles': 1440, 'long_nan_features': 0, 'short_nan_features': 0, 'long_prob_checks': 238, 'short_prob_checks': 238, 'long_entries': 4, 'short_entries': 22, 'long_prob_max': np.float32(0.8921899), 'short_prob_max': np.float32(0.65500724)}"
10080,11520,Bull,-3.7753698886643,3.8281611675349456,-7.6035310561992455,25,0,25,52.0,0.0,52.0,"{'total_candles': 1440, 'long_nan_features': 0, 'short_nan_features': 0, 'long_prob_checks': 289, 'short_prob_checks': 289, 'long_entries': 0, 'short_entries': 26, 'long_prob_max': np.float32(0.5433365), 'short_prob_max': np.float32(0.671402)}"
11520,12960,Sideways,5.9060624096312315,-0.5552796731548442,6.461342082786076,26,6,20,53.84615384615385,83.33333333333334,45.0,"{'total_candles': 1440, 'long_nan_features': 0, 'short_nan_features': 0, 'long_prob_checks': 242, 'short_prob_checks': 242, 'long_entries': 7, 'short_entries': 20, 'long_prob_max': np.float32(0.86704046), 'short_prob_max': np.float32(0.6693374)}"
12960,14400,Bear,0.04186464833817809,-4.600953371949964,4.642818020288142,23,4,19,47.82608695652174,25.0,52.63157894736842,"{'total_candles': 1440, 'long_nan_features': 0, 'short_nan_features': 0, 'long_prob_checks': 346, 'short_prob_checks': 346, 'long_entries': 4, 'short_entries': 20, 'long_prob_max': np.float32(0.8905175), 'short_prob_max': np.float32(0.6264752)}"
