window,total_trades,long_trades,short_trades,total_return_pct,win_rate,final_capital,avg_position_size
0,12,8,4,-14.863286984670177,33.33333333333333,8513.671301532982,54.31921
1,8,4,4,-6.108835675001901,50.0,9389.11643249981,52.217937
2,9,5,4,-5.5778557763351815,44.44444444444444,9442.214422366482,51.39258
3,10,3,7,-10.644652283873693,40.0,8935.53477161263,48.94892
4,9,4,5,-3.9629185148035866,44.44444444444444,9603.708148519641,46.30623
5,9,3,6,-2.677896085073171,44.44444444444444,9732.210391492683,46.132442
6,11,3,8,3.1674542948329694,45.45454545454545,10316.745429483297,47.41953
7,10,4,6,20.638992921778247,70.0,12063.899292177824,50.18766
8,8,2,6,7.419923422119336,50.0,10741.992342211934,51.882286
9,8,3,5,-1.7464036500188196,50.0,9825.359634998118,50.204838
10,8,5,3,-2.835701302647012,37.5,9716.429869735299,48.744244
11,7,5,2,-1.023373127227478,28.57142857142857,9897.662687277252,51.180477
12,8,4,4,-5.207304877891584,12.5,9479.269512210842,50.71778
13,10,5,5,-8.133397516897386,20.0,9186.660248310262,50.3728
14,10,4,6,-2.1527128763102703,50.0,9784.728712368973,53.439503
15,9,2,7,-2.6512728913654975,44.44444444444444,9734.87271086345,49.134514
16,8,1,7,-3.6852274139738253,37.5,9631.477258602617,49.852314
17,6,1,5,-3.4981946089491247,50.0,9650.180539105088,52.12433
18,6,1,5,-1.1341218679442682,16.666666666666664,9886.587813205573,50.75199
19,5,1,4,-3.127232630032358,20.0,9687.276736996764,48.058502
20,5,1,4,-3.488589797631721,20.0,9651.141020236828,46.781876
21,5,1,4,-2.6240767949084147,40.0,9737.592320509159,48.021526
22,5,1,4,1.044017153607092,80.0,10104.40171536071,46.5401
23,7,0,7,-3.720925459464506,57.14285714285714,9627.90745405355,45.70867
24,7,2,5,-5.381282773041676,57.14285714285714,9461.871722695832,47.17545
25,8,2,6,-5.57655264079267,50.0,9442.344735920733,47.188705
26,9,4,5,-15.832754462806625,22.22222222222222,8416.724553719338,47.660465
27,9,4,5,-15.29446340845865,11.11111111111111,8470.553659154135,47.380863
28,6,4,2,-13.853221450985966,0.0,8614.677854901403,48.726078
