start_idx,end_idx,regime,return,bh_return,difference,num_trades,win_rate,sharpe,max_dd
0,1440,Sideways,13.431776099539238,2.270613143709525,11.161162955829713,11,81.81818181818183,18.24010230416601,0.9048570827169597
1440,2880,Sideways,1.4807861077370763,-2.0224330193216757,3.503219127058752,15,66.66666666666666,2.3285271218243246,4.651314254257991
2880,4320,Sideways,16.43075809439211,-0.5914351004940368,17.02219319488615,24,58.333333333333336,8.133300653536647,2.3139234339072
4320,5760,Bear,5.900929327948506,-4.493761894214929,10.394691222163434,20,50.0,4.59822318717358,3.7813519853392417
5760,7200,Bear,3.9338980301873923,-3.5276730419637223,7.461571072151115,13,46.15384615384615,4.753106551377891,2.157718611116852
7200,8640,Sideways,9.083835962554202,2.1740653023939758,6.909770660160227,15,60.0,7.473461412854178,2.3763276816203036
8640,10080,Bull,8.505737382102325,3.882065420730484,4.623671961371841,10,100.0,30.29759196125777,0.0
10080,11520,Sideways,8.83819850231037,1.8614519495474038,6.9767465527629655,6,100.0,22.33353058281063,0.0
11520,12960,Sideways,2.769127224680742,-1.1782215588216938,3.947348783502436,5,60.0,10.13000750311783,0.5973032963911771
12960,14400,Bear,4.4075358267825315,-5.201186834529879,9.60872266131241,18,50.0,5.779917030049631,2.772790093780338
14400,15840,Bull,9.721591270038152,7.248375460768837,2.4732158092693153,8,87.5,16.65182832847361,0.5850549424114292
