start_idx,end_idx,regime,return,bh_return,difference,num_trades,num_long,num_short,win_rate,long_win_rate,short_win_rate,final_capital,avg_position_size,liquidations
0,1440,Sideways,-4.2652427966552935,2.270613143709525,-6.535855940364819,49,4,45,38.775510204081634,75.0,35.55555555555556,9573.47572033447,56.44041625668809,0
288,1728,Bull,-3.2388323340244094,5.103009780553955,-8.341842114578364,51,6,45,43.13725490196079,83.33333333333334,37.77777777777778,9676.116766597559,55.77845083527705,0
576,2016,Sideways,7.628107067893998,0.8540254255126348,6.774081642381363,59,10,49,45.76271186440678,80.0,38.775510204081634,10762.8107067894,55.97329203077292,0
864,2304,Sideways,11.432324077549492,-0.8821312776866527,12.314455355236145,55,11,44,50.90909090909091,72.72727272727273,45.45454545454545,11143.23240775495,56.52966769635677,0
1152,2592,Sideways,5.095163064051194,-1.019369103892871,6.1145321679440645,51,8,43,47.05882352941176,75.0,41.86046511627907,10509.51630640512,56.874233746645494,0
1440,2880,Sideways,8.664937103598477,-2.0224330193216757,10.687370122920154,51,7,44,50.98039215686274,71.42857142857143,47.72727272727273,10866.493710359848,57.5520530711202,0
1728,3168,Bear,10.053197349694928,-5.007577063064752,15.060774412759681,49,6,43,53.06122448979592,66.66666666666666,51.162790697674424,11005.319734969493,57.40790451789389,0
2016,3456,Bear,2.356922212078516,-3.4807165500074513,5.837638762085968,45,4,41,48.888888888888886,50.0,48.78048780487805,10235.692221207852,56.91075060036448,0
2304,3744,Bear,10.252218075649253,-2.769693514385452,13.021911590034705,46,5,41,54.347826086956516,80.0,51.21951219512195,11025.221807564925,56.65622864469238,0
2592,4032,Bear,13.155129660284274,-4.156482182930378,17.311611843214653,48,6,42,54.166666666666664,66.66666666666666,52.38095238095239,11315.512966028427,56.21998598178229,0
2880,4320,Sideways,19.923203576726827,-0.5914351004940368,20.514638677220866,59,10,49,52.54237288135594,70.0,48.97959183673469,11992.320357672683,56.79995393551004,0
3168,4608,Sideways,19.20181908098586,-1.2902703983353763,20.492089479321237,53,9,44,54.71698113207547,66.66666666666666,52.27272727272727,11920.181908098586,56.570894095695245,0
3456,4896,Sideways,28.06871236269453,-0.12441993896738279,28.19313230166191,51,10,41,60.78431372549019,80.0,56.09756097560976,12806.871236269453,57.03132186508646,0
3744,5184,Bear,32.66959412952969,-3.9558627095326924,36.62545683906239,56,11,45,58.92857142857143,72.72727272727273,55.55555555555556,13266.959412952969,56.074819953313906,0
4032,5472,Sideways,42.74878369714061,-1.1013726303965132,43.85015632753712,58,14,44,62.06896551724138,85.71428571428571,54.54545454545454,14274.87836971406,56.188429506945205,0
4320,5760,Bear,23.728078542726834,-4.493761894214929,28.22184043694176,62,11,51,50.0,63.63636363636363,47.05882352941176,12372.807854272683,56.350883688897845,0
4608,6048,Bear,20.080282946058926,-2.7693973624172257,22.849680308476152,63,13,50,46.03174603174603,61.53846153846154,42.0,12008.028294605892,55.870370996849886,0
4896,6336,Bear,26.566570023812307,-4.396579565137811,30.963149588950117,67,10,57,46.26865671641791,70.0,42.10526315789473,12656.657002381231,55.3094911679848,0
5184,6624,Sideways,9.915200602848417,-1.3327767724161472,11.247977375264565,56,8,48,41.07142857142857,62.5,37.5,10991.520060284842,55.97037202864886,0
5472,6912,Sideways,4.503867941400476,-2.03899820774509,6.542866149145566,52,4,48,38.46153846153847,50.0,37.5,10450.386794140048,56.52201860741927,0
5760,7200,Bear,13.726723869334053,-3.5276730419637223,17.254396911297775,53,3,50,45.28301886792453,100.0,42.0,11372.672386933406,57.46378128202456,0
6048,7488,Sideways,14.891601881692276,-0.46766050225535183,15.359262383947629,60,5,55,45.0,100.0,40.0,11489.160188169228,57.48358368103702,0
6336,7776,Bull,1.9226887066095333,3.2718140974385665,-1.3491253908290333,53,4,49,37.735849056603776,100.0,32.6530612244898,10192.268870660953,57.77960456654711,0
6624,8064,Sideways,5.961965452216227,1.6634538111162254,4.298511641100002,55,4,51,40.0,100.0,35.294117647058826,10596.196545221623,57.173040010983286,0
6912,8352,Sideways,-6.158022828028115,1.6057605472534597,-7.763783375281575,60,7,53,31.666666666666664,42.857142857142854,30.18867924528302,9384.197717197188,55.5052241606017,0
7200,8640,Sideways,-7.436520837849403,2.1740653023939758,-9.61058614024338,56,4,52,30.357142857142854,50.0,28.846153846153843,9256.34791621506,55.134889787063,0
7488,8928,Sideways,-7.22017816147889,-0.3090302080183232,-6.911147953460566,49,3,46,26.53061224489796,0.0,28.26086956521739,9277.982183852111,55.97447157666391,0
7776,9216,Sideways,-6.846824279961347,0.20809856685962017,-7.0549228468209675,48,3,45,29.166666666666668,33.33333333333333,28.888888888888886,9315.317572003865,55.664625447553895,0
8064,9504,Sideways,-7.622629929522409,0.8882820398117095,-8.510911969334119,52,3,49,26.923076923076923,33.33333333333333,26.53061224489796,9237.73700704776,55.73286120794141,0
8352,9792,Sideways,-3.626925628906956,2.5899985821866682,-6.216924211093624,45,3,42,33.33333333333333,100.0,28.57142857142857,9637.307437109304,56.99936499198278,0
8640,10080,Bull,-7.251109825924286,3.882065420730484,-11.133175246654769,46,3,43,32.608695652173914,100.0,27.906976744186046,9274.889017407571,56.66512084395989,0
8928,10368,Bull,-10.377800010638639,4.252448541834876,-14.630248552473514,52,3,49,32.69230769230769,100.0,28.57142857142857,8962.219998936136,56.096705465076056,0
9216,10656,Bull,-8.063333483255228,3.2652628576623686,-11.328596340917596,50,2,48,36.0,100.0,33.33333333333333,9193.666651674477,56.942647561430924,0
9504,10944,Bull,-9.291690708550796,3.9177777219424472,-13.209468430493242,45,2,43,35.55555555555556,100.0,32.55813953488372,9070.83092914492,57.56422066291174,0
9792,11232,Sideways,-4.414426289445891,1.4341604033618227,-5.8485866928077135,47,1,46,38.297872340425535,100.0,36.95652173913043,9558.55737105541,57.22739393279907,0
10080,11520,Sideways,-4.779159832862551,1.8614519495474038,-6.640611782409955,46,1,45,39.130434782608695,100.0,37.77777777777778,9522.084016713745,56.500414994747736,0
10368,11808,Sideways,2.579592237851557,-0.1265983262261718,2.706190564077729,44,2,42,47.72727272727273,100.0,45.23809523809524,10257.959223785156,57.86830737509511,0
10656,12096,Sideways,0.9065891139951419,1.2409272656983437,-0.3343381517032018,47,4,43,48.93617021276596,75.0,46.51162790697674,10090.658911399514,57.33347906457615,0
10944,12384,Sideways,6.058060094066313,-0.5506070377894144,6.608667131855728,48,4,44,54.166666666666664,75.0,52.27272727272727,10605.806009406631,57.17857233559093,0
11232,12672,Sideways,4.759645418563323,0.32703274608093963,4.432612672482383,43,4,39,55.81395348837209,75.0,53.84615384615385,10475.964541856332,58.34170199272245,0
11520,12960,Sideways,4.6654131104074805,-1.1782215588216938,5.843634669229174,39,3,36,53.84615384615385,66.66666666666666,52.77777777777778,10466.541311040748,59.65825694493757,0
11808,13248,Bear,5.049876996408676,-2.71259271538045,7.762469711789126,40,3,37,52.5,33.33333333333333,54.054054054054056,10504.987699640868,59.229265958815816,0
12096,13536,Bear,4.807277720466427,-4.575168451061345,9.382446171527771,34,1,33,55.88235294117647,0.0,57.57575757575758,10480.727772046643,59.29151486736887,0
12384,13824,Sideways,1.8096368891885868,-1.7518371385228717,3.5614740277114585,37,3,34,43.24324324324324,66.66666666666666,41.17647058823529,10180.963688918859,59.0297223885317,0
12672,14112,Bear,12.321019831427202,-5.853712628599047,18.17473246002625,41,7,34,48.78048780487805,42.857142857142854,50.0,11232.10198314272,58.43728011119658,0
12960,14400,Bear,10.380279838397565,-5.201186834529879,15.581466672927444,48,8,40,45.83333333333333,37.5,47.5,11038.027983839756,57.113690776129566,0
13248,14688,Bear,5.146707760658519,-3.0930765201344674,8.239784280792987,46,7,39,45.65217391304348,42.857142857142854,46.15384615384615,10514.670776065852,57.64891605467899,0
13536,14976,Sideways,0.21794665082526993,-1.3375690546601222,1.555515705485392,48,7,41,39.58333333333333,42.857142857142854,39.02439024390244,10021.794665082527,57.48003714407485,0
13824,15264,Sideways,-5.673597118860398,0.5189902203162086,-6.192587339176606,52,5,47,36.53846153846153,40.0,36.17021276595745,9432.64028811396,56.41861785432467,0
14112,15552,Bull,-10.634634820651282,4.657530501896513,-15.292165322547795,53,2,51,32.075471698113205,100.0,29.411764705882355,8936.536517934872,55.93564711876634,0
14400,15840,Bull,-14.503827898623639,7.248375460768837,-21.752203359392475,51,2,49,27.450980392156865,100.0,24.489795918367346,8549.617210137636,56.62837843830679,0
14688,16128,Bull,-14.274855571472198,9.833426283858959,-24.108281855331157,57,4,53,28.07017543859649,100.0,22.641509433962266,8572.51444285278,55.74894771790295,0
14976,16416,Bull,-4.897974804683745,10.428100344162184,-15.326075148845929,61,10,51,36.0655737704918,80.0,27.450980392156865,9510.202519531626,55.9580068141222,0
15264,16704,Bull,2.0380242104060744,7.136880853909378,-5.098856643503304,55,10,45,43.63636363636363,70.0,37.77777777777778,10203.802421040607,57.26952030035582,0
15552,16992,Bull,7.647873700641794,7.100365616233211,0.5475080844085829,54,10,44,48.148148148148145,80.0,40.909090909090914,10764.78737006418,57.40136692534994,0
