start_idx,end_idx,regime,xgb_return,bh_return,difference,num_trades,num_long,num_short,win_rate,win_rate_long,win_rate_short,sharpe,max_dd
0,1440,Sideways,-3.9938527927583714,2.473028405647383,-6.466881198405755,31,0,31,45.16129032258064,0.0,45.16129032258064,-3.0497564755519333,4.5807820929156255
1440,2880,Bull,-6.294253335638859,8.03813659558464,-14.3323899312235,33,7,26,39.39393939393939,57.14285714285714,34.61538461538461,-3.629056188088027,6.962963295763291
2880,4320,Sideways,3.1754228576562857,1.5748336042585827,1.600589253397703,30,6,24,53.333333333333336,83.33333333333334,45.83333333333333,3.219153171580257,1.6112564533536398
4320,5760,Sideways,-0.8695438359862602,-1.2266906927041816,0.35714685671792146,29,2,27,37.93103448275862,50.0,37.03703703703704,0.29950877330485276,2.0036182322421174
5760,7200,Sideways,2.802720285301602,0.03951854825241705,2.7632017370491853,30,4,26,53.333333333333336,100.0,46.15384615384615,3.2063411662653505,2.027382833309704
7200,8640,Sideways,-1.0157725978792587,-0.5108854068724317,-0.504887191006827,30,1,29,40.0,100.0,37.93103448275862,0.18452305859132548,1.4017732088959418
8640,10080,Bear,1.0906815486613233,-3.3590363127303107,4.449717861391634,29,2,27,51.724137931034484,50.0,51.85185185185185,2.058369765665688,3.4929907405187506
10080,11520,Bull,-4.702010599996447,4.403234106157836,-9.105244706154282,31,3,28,41.935483870967744,66.66666666666666,39.285714285714285,-4.121294515256648,4.528634935518312
11520,12960,Sideways,2.5662747893222693,-1.084716428085674,3.6509912174079435,30,5,25,53.333333333333336,60.0,52.0,2.3656728705936128,3.5682741560094398
12960,14400,Bear,2.444731426580129,-3.1152001581833435,5.559931584763472,29,3,26,48.275862068965516,66.66666666666666,46.15384615384615,3.830843780097874,1.612855549127085
14400,15840,Sideways,6.930826420914782,-1.1200991381738272,8.05092555908861,29,3,26,68.96551724137932,100.0,65.38461538461539,6.225458805740671,1.6032344107945795
15840,17280,Bear,4.777112851491639,-3.3298183470946454,8.106931198586285,30,2,28,50.0,100.0,46.42857142857143,4.231205169348562,1.7169840206284541
17280,18720,Sideways,-3.3268253230144,1.1915368361792948,-4.518362159193694,30,4,26,43.333333333333336,25.0,46.15384615384615,-2.031160146859459,5.913296674673976
18720,20160,Sideways,-2.5164733705979416,0.8255066612031196,-3.3419800318010613,30,3,27,46.666666666666664,66.66666666666666,44.44444444444444,-1.4927597831724677,3.2534371745018005
20160,21600,Bull,-3.112517994679911,3.9272006569232705,-7.039718651603181,30,1,29,46.666666666666664,100.0,44.827586206896555,-2.598929578987125,3.370856571344177
21600,23040,Sideways,1.3991576774387977,-0.010125835177738289,1.409283512616536,30,4,26,60.0,75.0,57.692307692307686,2.4548321007925566,1.8716647313865675
23040,24480,Sideways,2.5449122012010776,-1.5947964608823166,4.139708662083394,29,1,28,48.275862068965516,100.0,46.42857142857143,5.100354541023025,1.543325710236417
24480,25920,Sideways,-1.7281606528533666,0.26696185254911414,-1.9951225054024808,31,4,27,38.70967741935484,50.0,37.03703703703704,-0.5753310068730221,4.495263908650707
25920,27360,Bull,-2.7836647263080523,6.768516237696724,-9.552180964004776,30,4,26,50.0,100.0,42.30769230769231,-1.441510044171735,5.109620391976029
27360,28800,Sideways,1.270378661189934,-0.7849400299850099,2.0553186911749437,31,3,28,51.61290322580645,33.33333333333333,53.57142857142857,1.6132488514529209,3.226273044496585
