start_idx,end_idx,regime,xgb_return,bh_return,difference,num_trades,num_long,num_short,win_rate,win_rate_long,win_rate_short,sharpe,max_dd
0,1440,Sideways,0.0,2.270613143709525,-2.270613143709525,0,0,0,0.0,0.0,0.0,0.0,0.0
1440,2880,Sideways,0.0,-2.0224330193216757,2.0224330193216757,0,0,0,0.0,0.0,0.0,0.0,0.0
2880,4320,Sideways,0.9722794629446072,-0.5914351004940368,1.563714563438644,1,0,1,100.0,0.0,100.0,0.0,0.0
4320,5760,Bear,0.940812541158648,-4.493761894214929,5.434574435373577,1,0,1,100.0,0.0,100.0,0.0,0.0
5760,7200,Bear,0.6343305024238726,-3.5276730419637223,4.162003544387595,1,0,1,100.0,0.0,100.0,0.0,0.0
7200,8640,Sideways,-0.4813006497027163,2.1740653023939758,-2.655365952096692,1,0,1,0.0,0.0,0.0,0.0,0.0
8640,10080,Bull,0.9277076723158098,3.882065420730484,-2.954357748414674,1,0,1,100.0,0.0,100.0,0.0,0.0
10080,11520,Sideways,0.0,1.8614519495474038,-1.8614519495474038,0,0,0,0.0,0.0,0.0,0.0,0.0
11520,12960,Sideways,0.0,-1.1782215588216938,1.1782215588216938,0,0,0,0.0,0.0,0.0,0.0,0.0
12960,14400,Bear,0.40743831374215006,-5.201186834529879,5.608625148272029,1,1,0,100.0,100.0,0.0,0.0,0.0
14400,15840,Bull,0.0,7.248375460768837,-7.248375460768837,0,0,0,0.0,0.0,0.0,0.0,0.0
