side,entry_price,exit_price,entry_idx,exit_idx,hold_time,position_size_pct,leveraged_value,entry_fee,exit_fee,total_fees,position_pnl,net_pnl,exit_reason,entry_prob,exit_prob,window
SHORT,121406.7,119770.0,0,120,120,0.49591666,19836.666015625,9.918333053588867,9.918333053588867,19.836666107177734,267.42075410807956,257.5024210544907,MAX_HOLD,0.8115411,0.0,1
SHORT,119877.6,117056.4,121,241,120,0.48537153,19895.54297997242,9.94777148998621,9.94777148998621,19.89554297997242,468.2218016968843,458.2740302068981,MAX_HOLD,0.80257004,0.0,1
SHORT,117202.0,116579.6,244,364,120,0.45332214,19394.77263215698,9.69738631607849,9.69738631607849,19.39477263215698,102.99573801005435,93.29835169397586,MAX_HOLD,0.7744394,0.0,1
SHORT,116956.8,118074.1,370,490,120,0.46257198,19945.200176639977,9.97260008831999,9.97260008831999,19.94520017663998,-190.5384907706085,-200.51109085892847,MAX_HOLD,0.782701,0.0,1
SHORT,118143.3,119336.9,491,611,120,0.48014784,20298.783772955027,10.149391886477513,10.149391886477513,20.298783772955026,-205.07831008105362,-215.22770196753112,MAX_HOLD,0.7980766,0.0,1
SHORT,119499.7,118000.0,612,732,120,0.6337284,26220.260696970683,13.110130348485342,13.110130348485342,26.220260696970684,329.059612427871,315.9494820793857,MAX_HOLD,0.91912085,0.0,1
SHORT,118360.9,118834.1,746,866,120,0.46761614,19913.882724408588,9.956941362204294,9.956941362204294,19.913882724408587,-79.6145458947201,-89.57148725692439,MAX_HOLD,0.7871557,0.0,1
SHORT,118574.7,120544.8,868,947,79,0.46722674,19711.29049838113,9.855645249190566,9.855645249190566,19.711290498381132,-327.49999292311753,-337.3556381723081,STOP_LOSS,0.786813,0.0,1
SHORT,120957.1,119845.2,948,1068,120,0.61399996,25050.585787394648,12.525292893697324,12.525292893697324,25.05058578739465,230.27789469989216,217.75260180619483,MAX_HOLD,0.9046295,0.0,1
SHORT,119704.2,117932.4,1069,1189,120,0.4775516,19875.655648347874,9.937827824173937,9.937827824173937,19.875655648347873,294.18923210499565,284.2514042808217,MAX_HOLD,0.7958307,0.0,1
SHORT,117545.9,118281.3,1199,1319,120,0.42757374,18264.7383068843,9.13236915344215,9.13236915344215,18.2647383068843,-114.26930714625415,-123.4016762996963,MAX_HOLD,0.7507509,0.0,1
SHORT,118137.8,117758.8,0,120,120,0.44320494,17728.197265625,8.864099502563477,8.864099502563477,17.728199005126953,56.87414835617283,48.010048853609355,MAX_HOLD,0.7652582,0.0,2
SHORT,118143.4,118131.1,159,279,120,0.48522922,19485.147685897686,9.742573842948843,9.742573842948843,19.485147685897687,2.028613672336455,-7.713960170612388,MAX_HOLD,0.8024481,0.0,2
SHORT,118140.0,117250.1,280,400,120,0.54921,22016.04830680897,11.008024153404486,11.008024153404486,22.016048306808973,165.83783128685607,154.8298071334516,MAX_HOLD,0.85506463,0.0,2
SHORT,116768.5,118864.8,408,481,73,0.43587035,17723.37939564328,8.861689697821639,8.861689697821639,17.723379395643278,-318.18101822912047,-327.0427079269421,STOP_LOSS,0.7585017,0.0,2
SHORT,119266.7,118052.8,482,602,120,0.6019616,23668.183466677277,11.834091733338639,11.834091733338639,23.668183466677277,240.8954713277001,229.06137959436148,MAX_HOLD,0.89565825,0.0,2
SHORT,117889.9,117557.7,603,723,120,0.43177527,17351.897807561247,8.675948903780624,8.675948903780624,17.351897807561247,48.89562593294078,40.21967702916016,MAX_HOLD,0.75469077,0.0,2
SHORT,117228.6,119296.3,739,838,99,0.43121254,17383.69149561989,8.691845747809944,8.691845747809944,17.38369149561989,-306.6168060140033,-315.3086517618133,STOP_LOSS,0.7541649,0.0,2
SHORT,119287.8,119719.4,839,959,120,0.5856276,22849.73054772734,11.42486527386367,11.42486527386367,22.84973054772734,-82.67353161345017,-94.09839688731384,MAX_HOLD,0.8833203,0.0,2
SHORT,119951.6,118429.0,960,1080,120,0.6306881,24341.668220607957,12.170834110303979,12.170834110303979,24.341668220607957,308.9798221340759,296.8089880237719,MAX_HOLD,0.9169041,0.0,2
SHORT,118384.4,118188.1,1081,1201,120,0.4363141,17336.490817079124,8.668245408539562,8.668245408539562,17.336490817079124,28.746635092059684,20.078389683520122,MAX_HOLD,0.758913,0.0,2
SHORT,118221.8,118244.2,1202,1322,120,0.46125382,18348.49658494709,9.174248292473544,9.174248292473544,18.34849658494709,-3.4765696639935104,-12.650817956467055,MAX_HOLD,0.7815311,0.0,2
SHORT,118139.1,117951.5,1,121,120,0.43008634,17203.453125,8.601726531982422,8.601726531982422,17.203453063964844,27.31837136265724,18.716644830674817,MAX_HOLD,0.7531107,0.0,3
SHORT,117361.2,116531.3,139,259,120,0.42757374,17120.249393642865,8.560124696821433,8.560124696821433,17.120249393642865,121.06296605508562,112.50284135826419,MAX_HOLD,0.7507509,0.0,3
SHORT,116499.9,117189.4,262,382,120,0.44451594,17983.439781631343,8.991719890815672,8.991719890815672,17.983439781631343,-106.43426929495057,-115.42598918576624,MAX_HOLD,0.7664568,0.0,3
SHORT,117142.9,117436.9,383,503,120,0.48601326,19420.390323721585,9.710195161860794,9.710195161860794,19.420390323721588,-48.74042520011154,-58.450620361972334,MAX_HOLD,0.8031198,0.0,3
SHORT,117418.0,118019.1,504,624,120,0.5945683,23595.988745544288,11.797994372772145,11.797994372772145,23.59598874554429,-120.7953536506056,-132.59334802337776,MAX_HOLD,0.89009786,0.0,3
SHORT,118043.7,118263.2,625,745,120,0.61572814,24080.112663138436,12.040056331569218,12.040056331569218,24.080112663138436,-44.776508441864216,-56.816564773433434,MAX_HOLD,0.90590924,0.0,3
SHORT,118241.7,118439.3,746,866,120,0.4345114,16873.348453830455,8.436674226915228,8.436674226915228,16.873348453830456,-28.19795092997645,-36.63462515689168,MAX_HOLD,0.7572402,0.0,3
SHORT,118296.7,119453.5,867,987,120,0.42787272,16538.41013042481,8.269205065212406,8.269205065212406,16.53841013042481,-161.72583714402407,-169.9950422092365,MAX_HOLD,0.7510323,0.0,3
SHORT,119270.3,118672.1,988,1108,120,0.6249197,23709.19333795595,11.854596668977974,11.854596668977974,23.70919333795595,118.91342148686789,107.05882481788991,MAX_HOLD,0.912682,0.0,3
SHORT,118756.3,117835.7,1109,1229,120,0.4606946,17654.00176010442,8.82700088005221,8.82700088005221,17.65400176010442,136.85399444368198,128.0269935636298,MAX_HOLD,0.78103405,0.0,3
SHORT,118179.9,118898.4,1232,1352,120,0.4997502,19388.90831062243,9.694454155311217,9.694454155311217,19.388908310622433,-117.87901852330403,-127.57347267861525,MAX_HOLD,0.8147704,0.0,3
SHORT,118345.5,117729.8,0,120,120,0.4549945,18199.779296875,9.099889755249023,9.099889755249023,18.199779510498047,94.68551075525377,85.58562100000475,MAX_HOLD,0.7759422,0.0,4
SHORT,118222.9,117518.2,162,282,120,0.42891327,17287.75407870202,8.64387703935101,8.64387703935101,17.28775407870202,103.04839670877016,94.40451966941914,MAX_HOLD,0.75201035,0.0,4
SHORT,117645.8,117782.6,283,403,120,0.49504513,20123.082680639214,10.061541340319607,10.061541340319607,20.123082680639214,-23.39937091431656,-33.46091225463617,MAX_HOLD,0.81080455,0.0,4
SHORT,117783.4,118610.4,404,524,120,0.50119936,20285.992562250318,10.142996281125159,10.142996281125159,20.285992562250318,-142.43531642813005,-152.57831270925521,MAX_HOLD,0.8159869,0.0,4
SHORT,118562.2,116534.1,525,645,120,0.63663733,25353.45239589936,12.67672619794968,12.67672619794968,25.35345239589936,433.69081211485,421.01408591690034,MAX_HOLD,0.9212364,0.0,4
SHORT,115751.8,115021.9,689,809,120,0.42734927,17716.772936565707,8.858386468282854,8.858386468282854,17.716772936565707,111.7172481671945,102.85886169891164,MAX_HOLD,0.75053954,0.0,4
