window,total_trades,long_trades,short_trades,win_rate,window_return,starting_capital,ending_capital,ml_exit_rate,sl_exits,max_hold_exits
0,13,6,7,84.61538461538461,15.205362165173812,10000.0,11520.536216517381,100.0,0,0
1,29,24,5,41.37931034482759,6.636708026003448,11520.536216517381,12285.120568237624,100.0,0,0
2,8,4,4,75.0,3.1734614936463097,12285.120568237624,12674.984138918668,100.0,0,0
3,16,6,10,62.5,6.131573513716431,12674.984138918668,13452.160109248363,100.0,0,0
4,7,5,2,100.0,10.474610435667264,13452.160109248363,14861.221475874361,100.0,0,0
5,11,7,4,54.54545454545454,2.2428232600499696,14861.221475874361,15194.532407862813,100.0,0,0
6,5,2,3,80.0,8.037658564505726,15194.532407862813,16415.817043279996,80.0,0,1
7,3,0,3,100.0,9.754146602750568,16415.817043279996,18017.03990372084,66.66666666666666,0,1
8,5,4,1,80.0,5.827555572093588,18017.03990372084,19066.99291655645,100.0,0,0
9,1,1,0,100.0,1.0198947274521488,19066.99291655645,19261.456171996084,100.0,0,0
10,1,1,0,100.0,0.7805357214933478,19261.456171996084,19411.7987178983,100.0,0,0
11,6,1,5,66.66666666666666,6.947030126574432,19411.7987178983,20760.342222940682,100.0,0,0
12,11,0,11,81.81818181818183,17.88863103275316,20760.342222940682,24474.083244339407,90.9090909090909,0,1
13,2,1,1,100.0,1.7405304215708504,24474.083244339407,24900.062108607708,100.0,0,0
14,4,2,2,75.0,3.9244246199671475,24900.062108607708,25877.24627638502,75.0,0,1
15,3,2,1,66.66666666666666,6.906819010499371,25877.24627638502,27664.54084159612,100.0,0,0
16,3,0,3,100.0,12.871190038632665,27664.54084159612,31225.296466633106,66.66666666666666,0,1
17,45,43,2,33.33333333333333,3.8202904070683585,31225.296466633106,32418.193472126546,100.0,0,0
18,10,3,7,80.0,26.055677187903065,32418.193472126546,40864.9733133737,80.0,0,2
19,7,2,5,85.71428571428571,20.1384154226597,40864.9733133737,49094.53140157992,100.0,0,0
20,18,5,13,44.44444444444444,11.624350407051722,49094.53140157992,54801.451762399614,100.0,0,0
21,7,6,1,57.14285714285714,11.290926441692182,54801.451762399614,60989.04336987158,100.0,0,0
22,6,5,1,83.33333333333334,10.748298775496364,60989.04336987158,67544.32797158243,100.0,0,0
23,4,4,0,100.0,9.303042419581187,67544.32797158243,73828.00545479979,50.0,0,2
24,3,1,2,100.0,4.462645550127401,73828.00545479979,77122.68765497622,66.66666666666666,0,1
25,5,5,0,80.0,3.839791961267224,77122.68765497622,80084.03841586523,40.0,0,3
26,5,2,3,100.0,9.321140458185699,80084.03841586523,87548.78412119542,80.0,0,1
27,2,0,2,100.0,7.4769019379418875,87548.78412119542,94094.72085779764,100.0,0,0
28,5,4,1,100.0,10.679300274551968,94094.72085779764,104143.37864070333,60.0,0,2
29,10,2,8,90.0,21.61790705489172,104143.37864070333,126656.99743907453,100.0,0,0
30,9,9,0,55.55555555555556,12.224017213303327,126656.99743907453,142139.57060788016,100.0,0,0
31,4,3,1,100.0,18.131844195551377,142139.57060788016,167912.09609072673,25.0,0,3
32,4,1,3,100.0,7.945837489416767,167912.09609072673,181254.1183711692,100.0,0,0
33,9,7,2,88.88888888888889,27.778338514874086,181254.1183711692,231603.50094446316,88.88888888888889,0,1
34,14,4,10,78.57142857142857,38.27405029185872,231603.50094446316,320247.54137365246,100.0,0,0
35,11,5,6,100.0,137.84544520048843,320247.54137365246,761694.190523782,90.9090909090909,0,1
36,12,7,5,100.0,65.5064990584169,761694.190523782,1260653.3882672596,83.33333333333334,0,2
37,13,9,4,84.61538461538461,30.022819842890254,1260653.3882672596,1639137.0838700307,76.92307692307693,2,1
38,9,7,2,100.0,31.996344355562094,1639137.0838700307,2163601.0296848044,88.88888888888889,0,1
39,7,3,4,100.0,53.89129468393155,2163601.0296848044,3329593.6363768196,71.42857142857143,0,2
40,6,2,4,66.66666666666666,12.389406146905943,3329593.6363768196,3742110.5150290783,83.33333333333334,0,1
