start_idx,end_idx,regime,return,bh_return,difference,num_trades,num_long,num_short,win_rate,long_win_rate,short_win_rate
0,1440,Sideways,-0.4815314528061753,1.7278348959956829,-2.2093663488018582,26,5,21,50.0,80.0,42.857142857142854
1440,2880,Bull,-3.954812688232396,8.44825051107726,-12.403063199309656,29,4,25,48.275862068965516,75.0,44.0
2880,4320,Sideways,-2.6233349085990993,0.5751983497490843,-3.1985332583481836,30,3,27,53.333333333333336,33.33333333333333,55.55555555555556
4320,5760,Sideways,2.654270706649222,0.053633274166981375,2.600637432482241,28,3,25,60.71428571428571,100.0,56.00000000000001
5760,7200,Sideways,3.9799356737862763,-0.607554758258879,4.587490432045155,28,9,19,57.14285714285714,66.66666666666666,52.63157894736842
7200,8640,Sideways,-0.7336022737317216,0.3033697302989974,-1.0369720040307189,26,0,26,50.0,0.0,50.0
8640,10080,Bear,0.2026251379480709,-3.483027796921668,3.685652934869739,27,1,26,59.25925925925925,0.0,61.53846153846154
10080,11520,Bull,-1.8553224690875503,3.8281611675349456,-5.683483636622496,28,3,25,50.0,100.0,44.0
11520,12960,Sideways,1.919192900136077,-0.5552796731548442,2.474472573290921,28,4,24,50.0,75.0,45.83333333333333
12960,14400,Bear,4.032439233896821,-4.600953371949964,8.633392605846785,26,2,24,50.0,50.0,50.0
14400,15840,Sideways,4.643412622423456,-1.1747971948075935,5.81820981723105,26,3,23,73.07692307692307,100.0,69.56521739130434
15840,17280,Bear,2.7110743662640924,-2.839443121529591,5.550517487793684,29,8,21,48.275862068965516,37.5,52.38095238095239
17280,18720,Sideways,-4.082758015452036,1.7670589536963561,-5.849816969148392,29,2,27,44.827586206896555,50.0,44.44444444444444
18720,20160,Sideways,1.2597017385776235,2.4024072872300755,-1.142705548652452,26,5,21,46.15384615384615,100.0,33.33333333333333
20160,21600,Sideways,-0.19080180192400803,2.620615482696776,-2.811417284620784,25,2,23,48.0,100.0,43.47826086956522
21600,23040,Sideways,-0.03470764861742282,0.7244374475522075,-0.7591450961696303,26,2,24,53.84615384615385,100.0,50.0
23040,24480,Bear,2.107014406347316,-3.1016236216289124,5.208638027976228,24,0,24,41.66666666666667,0.0,41.66666666666667
24480,25920,Sideways,-1.3281490393366766,0.12027073452846798,-1.4484197738651445,26,2,24,53.84615384615385,50.0,54.166666666666664
25920,27360,Bull,-3.448814041937603,7.865421437536986,-11.31423547947459,29,5,24,48.275862068965516,80.0,41.66666666666667
27360,28800,Sideways,-2.6843889074402614,0.02419724009113556,-2.708586147531397,28,1,27,35.714285714285715,0.0,37.03703703703704
28800,30240,Bear,5.575942445225191,-9.173625624202606,14.749568069427797,38,15,23,52.63157894736842,53.333333333333336,52.17391304347826
