start_idx,end_idx,regime,return,bh_return,difference,num_trades,win_rate,sharpe,max_dd
0,1440,Sideways,1.1302454629372187,1.9576322841804779,-0.8273868212432591,26,26.923076923076923,2.0705503169588115,2.3511607918078195
1440,2880,Sideways,-2.1275174690986387,-1.8399398516340355,-0.2875776174646032,28,32.142857142857146,0.02597143613864268,4.28423583473273
2880,4320,Sideways,-5.898419288240912,-0.7401022009771113,-5.1583170872638,30,13.333333333333334,-2.270911512727547,9.273084690846474
4320,5760,Bear,-8.243842190493925,-4.396676862179103,-3.847165328314823,29,17.24137931034483,-4.201688729801398,10.913668657986998
5760,7200,Bear,-0.3249616012460683,-2.5272446699346105,2.2022830686885424,27,22.22222222222222,1.2952079685728466,4.458029265416539
7200,8640,Sideways,0.42820201362561416,0.8328214993384327,-0.4046194857128186,25,32.0,2.0407444781583535,3.6485523167771325
8640,10080,Bull,-0.3990605669759679,3.9034243843739067,-4.302484951349875,36,25.0,1.2811819106831044,3.833629418284558
10080,11520,Sideways,-4.0203823720781475,2.203385539553733,-6.223767911631881,28,25.0,-1.704668788327539,3.402916959398792
11520,12960,Sideways,-4.268493969718784,-1.3339875292337013,-2.9345064404850825,26,19.230769230769234,-3.0953049953484237,4.489213469603943
12960,14400,Bear,-10.379459021944532,-5.392513919015698,-4.986945102928834,29,10.344827586206897,-11.33304380307675,10.063527725129054
14400,15840,Bull,4.518175399268366,7.212804185728906,-2.69462878646054,34,23.52941176470588,3.312565388541814,2.472622948912173
