window,total_trades,long_trades,short_trades,return_pct,final_capital,win_rate,ml_exit_rate,avg_hold_time
2,8,8,0,-1.1467401017635892,9885.325989823641,12.5,100.0,3.0
3,10,10,0,6.287923174295629,10628.792317429563,20.0,90.0,9.7
4,29,29,0,19.454802739142995,11945.4802739143,27.586206896551722,96.55172413793103,10.586206896551724
5,29,29,0,19.454802739142995,11945.4802739143,27.586206896551722,96.55172413793103,10.586206896551724
6,29,29,0,19.454802739142995,11945.4802739143,27.586206896551722,96.55172413793103,10.586206896551724
7,74,72,2,12.994016732778254,11299.401673277825,27.027027027027028,100.0,5.4324324324324325
8,86,71,15,12.536122397740945,11253.612239774095,31.3953488372093,100.0,4.569767441860465
9,68,52,16,2.739567493453087,10273.956749345309,32.35294117647059,100.0,3.6911764705882355
10,74,58,16,2.3571096296203176,10235.710962962032,32.432432432432435,100.0,3.554054054054054
11,88,71,17,4.6710142233236915,10467.10142233237,34.090909090909086,100.0,3.772727272727273
12,34,19,15,11.295649805709509,11129.56498057095,50.0,100.0,5.588235294117647
13,21,19,2,6.296007066187048,10629.600706618705,42.857142857142854,100.0,4.904761904761905
14,31,29,2,3.387057079221122,10338.705707922112,35.483870967741936,100.0,4.193548387096774
15,25,23,2,9.42764777555707,10942.764777555707,36.0,100.0,5.92
16,13,12,1,8.83448030682117,10883.448030682117,38.46153846153847,100.0,7.923076923076923
17,13,12,1,8.83448030682117,10883.448030682117,38.46153846153847,100.0,7.923076923076923
18,43,12,31,4.585207944286285,10458.520794428629,23.25581395348837,100.0,4.604651162790698
19,34,3,31,12.22520586096689,11222.520586096689,26.47058823529412,100.0,6.382352941176471
20,32,1,31,1.669671983984681,10166.967198398468,21.875,100.0,4.96875
21,31,1,30,0.48177556717979314,10048.17755671798,19.35483870967742,100.0,4.548387096774194
22,32,2,30,-2.639321504350173,9736.067849564983,18.75,96.875,6.65625
23,3,3,0,-2.4195352848715084,9758.04647151285,33.33333333333333,33.33333333333333,47.666666666666664
24,4,3,1,-3.5184370288153874,9648.156297118461,50.0,50.0,29.5
25,7,4,3,2.6397938950753814,10263.979389507538,57.14285714285714,57.14285714285714,39.57142857142857
26,7,3,4,13.321184052424742,11332.118405242474,71.42857142857143,71.42857142857143,37.714285714285715
