window,total_trades,long_trades,short_trades,win_rate,avg_return,total_return,ml_exit_rate,sl_exits,max_hold_exits
0,69,42,27,44.927536231884055,-0.26809031864024424,-18.49823198617685,88.40579710144928,7,1
1,70,40,30,37.142857142857146,-0.2388947287413014,-16.7226310118911,91.42857142857143,4,2
2,49,29,20,42.857142857142854,-0.13978044348855384,-6.849241730939139,91.83673469387756,2,2
3,43,15,28,37.2093023255814,-0.23965779498929826,-10.305285184539825,86.04651162790698,3,3
4,44,32,12,43.18181818181818,-0.15475844568335353,-6.809371610067555,88.63636363636364,1,4
5,50,37,13,50.0,0.13618690451334478,6.809345225667239,90.0,1,4
6,36,15,21,50.0,-0.12054507913734445,-4.3396228489444,80.55555555555556,2,5
7,51,35,16,29.411764705882355,-0.3502416791017776,-17.862325634190658,84.31372549019608,3,5
8,61,56,5,39.34426229508197,-0.2534794558066803,-15.462246804207497,91.80327868852459,3,2
9,72,63,9,30.555555555555557,-0.18358197843099633,-13.217902447031737,97.22222222222221,2,0
10,63,54,9,30.158730158730158,-0.21031080348615575,-13.249580619627812,90.47619047619048,4,2
11,36,32,4,47.22222222222222,0.02124359547524465,0.7647694371088074,91.66666666666666,1,2
12,29,22,7,41.37931034482759,-0.2757106813951483,-7.995609760459302,82.75862068965517,1,4
13,23,7,16,39.130434782608695,-0.43937974066646274,-10.105734035328643,73.91304347826086,2,4
14,53,35,18,37.735849056603776,-0.22522738093091318,-11.9370511893384,92.45283018867924,2,2
15,22,19,3,68.18181818181817,0.10462177768243898,2.3016791090136577,86.36363636363636,2,1
16,44,9,35,43.18181818181818,-0.19115705932836924,-8.410910610448246,84.0909090909091,1,6
17,52,26,26,50.0,-0.16203546463269752,-8.42584416090027,80.76923076923077,5,5
18,82,60,22,35.36585365853659,-0.18665592111227142,-15.305785531206256,92.6829268292683,4,2
19,88,78,10,39.77272727272727,-0.10418130631269235,-9.167954955516926,95.45454545454545,4,0
