window,total_trades,long_trades,short_trades,win_rate,window_return,starting_capital,ending_capital,ml_exit_rate,sl_exits,max_hold_exits
0,36,18,18,69.44444444444444,5.439471506391273,10000.0,10543.947150639127,94.44444444444444,2,0
1,22,7,15,31.818181818181817,-12.150734480748612,10543.947150639127,9262.780128574508,81.81818181818183,3,1
2,18,8,10,55.55555555555556,-4.346955203522237,9262.780128574508,8860.131225784615,83.33333333333334,2,1
3,33,10,23,54.54545454545454,-12.925455438142631,8860.131225784615,7714.918912434864,81.81818181818183,6,0
4,24,12,12,45.83333333333333,-7.369353162711305,7714.918912434864,7146.379291560733,83.33333333333334,3,1
5,19,8,11,42.10526315789473,-1.1217089412106656,7146.379291560733,7066.217716074469,94.73684210526315,1,0
6,14,7,7,57.14285714285714,4.227376876720263,7066.217716074469,7364.933369862511,92.85714285714286,0,1
7,30,6,24,63.33333333333333,5.628548740854175,7364.933369862511,7779.472234316657,86.66666666666667,1,3
8,20,11,9,55.00000000000001,-3.7662936148334643,7779.472234316657,7486.474468287846,90.0,2,0
9,20,6,14,65.0,1.9444494667237748,7486.474468287846,7632.045181162881,90.0,2,0
10,9,2,7,44.44444444444444,2.493954952351862,7632.045181162881,7822.384949924224,77.77777777777779,0,2
11,30,9,21,53.333333333333336,2.353972724120906,7822.384949924224,8006.521758021179,90.0,1,2
12,26,8,18,76.92307692307693,7.0379538719648735,8006.521758021179,8570.01706609954,88.46153846153845,1,2
13,6,3,3,33.33333333333333,0.0895069318047732,8570.01706609954,8577.687825430552,50.0,0,3
14,24,12,12,29.166666666666668,-8.555496634057434,8577.687825430552,7843.824032245887,83.33333333333334,2,2
15,20,1,19,50.0,-14.549340970802993,7843.824032245887,6702.599328644645,85.0,3,0
16,14,4,10,64.28571428571429,-8.623743133338872,6702.599328644645,6124.584379285435,64.28571428571429,3,2
17,43,26,17,41.86046511627907,-4.181866955916203,6124.584379285435,5868.462408940892,100.0,0,0
18,24,16,8,50.0,-7.68309427014508,5868.462408940892,5417.582909853936,83.33333333333334,3,1
19,32,20,12,34.375,-9.678390426332617,5417.582909853936,4893.248084168001,90.625,2,1
20,25,8,17,40.0,-18.622267063046547,4893.248084168001,3982.014357876827,80.0,5,0
21,15,9,6,53.333333333333336,-0.055406282565994926,3982.014357876827,3979.8080717498833,73.33333333333333,1,3
22,19,7,12,63.1578947368421,5.184911797159063,3979.8080717498833,4186.157609966332,100.0,0,0
23,19,11,8,57.89473684210527,0.5195725646259334,4186.157609966332,4207.907736419717,89.47368421052632,1,1
24,7,6,1,57.14285714285714,-0.8047125559078127,4207.907736419717,4174.046174523732,42.857142857142854,0,4
25,23,12,11,52.17391304347826,3.9372458854298915,4174.046174523732,4338.388635786111,100.0,0,0
26,21,3,18,52.38095238095239,-4.005265209438387,4338.388635786111,4164.624665106741,90.47619047619048,1,1
27,4,4,0,25.0,-4.732020659462856,4164.624665106741,3967.5537655648045,0.0,1,3
28,19,8,11,57.89473684210527,-13.52289679047848,3967.5537655648045,3431.0255647407334,63.1578947368421,5,2
29,32,14,18,43.75,-11.94249813023456,3431.0255647407334,3021.2754008237016,87.5,3,1
30,7,4,3,71.42857142857143,3.90896398804095,3021.2754008237016,3139.37596822144,71.42857142857143,0,2
31,18,9,9,44.44444444444444,-8.898893303969668,3139.37596822144,2860.0062503989493,83.33333333333334,3,0
32,18,6,12,55.55555555555556,2.0924766147768237,2860.0062503989493,2919.851212369703,77.77777777777779,1,3
33,19,1,18,31.57894736842105,-8.763833609743525,2919.851212369703,2663.960310465543,84.21052631578947,2,1
34,31,0,31,45.16129032258064,-6.569931623237644,2663.960310465543,2488.9399395977675,93.54838709677419,2,0
35,32,17,15,59.375,14.594352568176792,2488.9399395977675,2852.184609592832,78.125,7,0
36,30,16,14,60.0,-2.863254960469098,2852.184609592832,2770.5192922769293,83.33333333333334,4,1
37,49,27,22,40.816326530612244,-25.696379900733174,2770.5192922769293,2058.5961297103454,83.6734693877551,8,0
38,34,30,4,50.0,1.3379711471142186,2058.5961297103454,2086.13955196148,100.0,0,0
39,24,15,9,58.333333333333336,1.93158292645314,2086.13955196148,2126.435067369154,87.5,3,0
40,40,31,9,47.5,-12.486941821749568,2126.435067369154,1860.9083576294863,92.5,3,0
