feature,backtest,production,abs_diff,rel_diff_pct
atr_200,115.70966115044803,115.62676746920674,0.08289368124128771,0.07163937774695207
ema_200,112762.21322590591,112762.25820459018,0.04497868426551577,3.9888082167566386e-05
rsi_200,56.57631214086607,56.56709400313237,0.009218137733704168,0.016293281383828028
bb_low,113384.3709438979,113384.37094380529,9.260838851332664e-08,8.167650245124954e-11
bb_high,113697.5690561021,113697.56905619471,9.260838851332664e-08,8.145151148098041e-11
volume_price_correlation,0.16770079179401334,0.1677007917018527,9.216064023043202e-11,5.495539958072041e-08
vwap,112725.77945235545,112725.77945235548,2.9103830456733704e-11,2.5818256123954944e-14
vwap_distance_normalized,9.604858053001422,9.604858053001141,2.8066438062523957e-13,2.9221085733540305e-12
vwap_band_position,0.9988302790221785,0.998830279022142,3.6415315207705135e-14,3.645796084931918e-12
volume_ma_ratio,2.000088618220394,2.0000886182203987,4.884981308350689e-15,2.442382434382916e-13
volume_ma_ratio,2.000088618220394,2.0000886182203987,4.884981308350689e-15,2.442382434382916e-13
vp_vwap_alignment,-0.006850005257729663,-0.0068500052577294065,2.5673907444456745e-16,3.748012808528267e-12
vwap_distance_pct,0.008755780988155736,0.008755780988155479,2.5673907444456745e-16,2.9322235765360936e-12
vwap_vs_ma20,-0.007179703922245455,-0.007179703922245199,2.5587171270657905e-16,3.563819838221895e-12
macd,13.162154800025746,13.162154800025746,0.0,0.0
macd_diff,15.458597378364747,15.458597378364747,0.0,0.0
macd_signal,-2.2964425783389997,-2.2964425783389997,0.0,0.0
bb_mid,113540.97,113540.97,0.0,0.0
rsi,63.11686233978918,63.11686233978918,0.0,0.0
close_change_1,0.0011047924222684635,0.0011047924222684635,0.0,0.0
close_change_3,0.0018588588720866994,0.0018588588720866994,0.0,0.0
macd_bullish_divergence,0.0,0.0,0.0,0.0
rsi_bearish_divergence,0.0,0.0,0.0,0.0
rsi_bullish_divergence,0.0,0.0,0.0,0.0
price_vs_lower_trendline_pct,0.2446699047359519,0.2446699047359519,0.0,0.0
price_vs_upper_trendline_pct,0.17052765945306644,0.17052765945306644,0.0,0.0
lower_trendline_slope,-1.169344537814339,-1.169344537814339,0.0,0.0
upper_trendline_slope,-2.361671068427219,-2.361671068427219,0.0,0.0
num_resistance_touches,6.0,6.0,0.0,0.0
num_support_touches,4.0,4.0,0.0,0.0
distance_to_resistance_pct,0.003165628311274316,0.003165628311274316,0.0,0.0
distance_to_support_pct,0.2904463975589514,0.2904463975589514,0.0,0.0
upper_shadow_ratio,0.178125,0.178125,0.0,0.0
body_to_range_ratio,0.7856249999999818,0.7856249999999818,0.0,0.0
higher_highs_lows,0.0,0.0,0.0,0.0
macd_bearish_divergence,0.0,0.0,0.0,0.0
double_top,0.0,0.0,0.0,0.0
doji,0.0,0.0,0.0,0.0
shooting_star,0.0,0.0,0.0,0.0
hammer,0.0,0.0,0.0,0.0
distance_from_recent_high_pct,0.018909410729991204,0.018909410729991204,0.0,0.0
price_momentum_near_resistance,0.0017194253666330806,0.0017194253666330806,0.0,0.0
bearish_candle_count,0.0,0.0,0.0,0.0
red_candle_volume_ratio,0.5478388929659954,0.5478388929659954,0.0,0.0
strong_selling_pressure,0.0,0.0,0.0,0.0
ma_200,112494.81599999999,112494.81599999999,0.0,0.0
consecutive_up_candles,2.0,2.0,0.0,0.0
lower_shadow_ratio,0.03625000000001819,0.03625000000001819,0.0,0.0
bullish_engulfing,0.0,0.0,0.0,0.0
bearish_engulfing,0.0,0.0,0.0,0.0
double_bottom,1.0,1.0,0.0,0.0
lower_highs_lows,0.0,0.0,0.0,0.0
price_volume_trend,1.0,1.0,0.0,0.0
vp_in_value_area,1.0,1.0,0.0,0.0
vp_distance_to_poc_pct,0.0019189203448776483,0.0019189203448776483,0.0,0.0
vp_value_area_low,113174.645,113174.645,0.0,0.0
vp_value_area_high,113831.91,113831.91,0.0,0.0
vp_poc,113503.2775,113503.2775,0.0,0.0
rsi_from_recent_peak,7.077176034566605,7.077176034566605,0.0,0.0
vp_percentile,0.8412056020022376,0.8412056020022376,0.0,0.0
vp_volume_imbalance,0.0495744868992555,0.0495744868992555,0.0,0.0
vp_poc_momentum,-0.0008265610660336264,-0.0008265610660336264,0.0,0.0
vp_va_midpoint_momentum,0.0,0.0,0.0,0.0
vp_strong_buy_pressure,0.0,0.0,0.0,0.0
vp_strong_sell_pressure,0.0,0.0,0.0,0.0
vp_poc_distance_normalized,2.105004402519727,2.105004402519727,0.0,0.0
vwap_above,1.0,1.0,0.0,0.0
vp_value_area_width_pct,0.005790713840840406,0.005790713840840406,0.0,0.0
vp_price_in_va_position,0.8320160057205437,0.8320160057205437,0.0,0.0
vwap_momentum,0.000357854244143585,0.000357854244143585,0.0,0.0
vp_below_va_breakout,0.0,0.0,0.0,0.0
vp_above_va_breakout,0.0,0.0,0.0,0.0
vwap_cross_up,0.0,0.0,0.0,0.0
vwap_overbought,1.0,1.0,0.0,0.0
vwap_oversold,0.0,0.0,0.0,0.0
vwap_bullish_divergence,0.0,0.0,0.0,0.0
vwap_cross_down,0.0,0.0,0.0,0.0
vwap_bearish_divergence,0.0,0.0,0.0,0.0
vp_vwap_bullish_confluence,0.0,0.0,0.0,0.0
vp_vwap_bearish_confluence,0.0,0.0,0.0,0.0
vwap_near_vp_support,1.0,1.0,0.0,0.0
vwap_near_vp_resistance,0.0,0.0,0.0,0.0
institutional_activity_zone,0.0,0.0,0.0,0.0
vp_vwap_trend_alignment,0.0,0.0,0.0,0.0
vp_efficiency,63.328359317971056,63.328359317971056,0.0,0.0
