feature,backtest,production,abs_diff,rel_diff_pct
atr_200,115.70966115044803,115.62676746920674,0.08289368124128771,0.07163937774695207
ema_200,112762.21322590591,112762.25820459018,0.04497868426551577,3.9888082167566386e-05
rsi_200,56.57631214086607,56.56709400313237,0.009218137733704168,0.016293281383828028
vwap,112725.77945235545,112725.77945235548,2.9103830456733704e-11,2.5818256123954944e-14
vwap_distance_normalized,9.604858053001422,9.604858053001141,2.8066438062523957e-13,2.9221085733540305e-12
vwap_band_position,0.9988302790221785,0.998830279022142,3.6415315207705135e-14,3.645796084931918e-12
volume_decline_ratio,0.8571460422288478,0.8571460422288576,9.769962616701378e-15,1.1398247364353941e-12
vwap_distance_pct,0.008755780988155736,0.008755780988155479,2.5673907444456745e-16,2.9322235765360936e-12
vp_vwap_alignment,-0.006850005257729663,-0.0068500052577294065,2.5673907444456745e-16,3.748012808528267e-12
vwap_vs_ma20,-0.007179703922245455,-0.007179703922245199,2.5587171270657905e-16,3.563819838221895e-12
volatility,0.0005299835783569382,0.0005299835783571826,2.443791696782327e-16,4.611070600260108e-11
downside_volatility,0.00042555537883439044,0.0004255553788342955,9.492190020110591e-17,2.2305416620769777e-11
upside_volatility,0.0005002076576358333,0.000500207657635888,5.4752209710517974e-17,1.0945895944355831e-11
rsi_direction,1.0,1.0,0.0,0.0
rsi_deviation,13.11686233978918,13.11686233978918,0.0,0.0
negative_acceleration,10.5,10.5,0.0,0.0
negative_momentum,-0.0,-0.0,0.0,0.0
atr,103.66841789041464,103.66841789041464,0.0,0.0
atr_pct,0.0009115991073843965,0.0009115991073843965,0.0,0.0
price_direction_ma50,1.0,1.0,0.0,0.0
price_distance_ma50,0.001675432444233725,0.001675432444233725,0.0,0.0
price_direction_ma20,1.0,1.0,0.0,0.0
price_distance_ma20,0.001589998746707896,0.001589998746707896,0.0,0.0
rsi_extreme,0.0,0.0,0.0,0.0
macd_divergence_abs,15.458597378361342,15.458597378361342,0.0,0.0
macd_direction,1.0,1.0,0.0,0.0
macd_strength,15.458597378361342,15.458597378361342,0.0,0.0
lower_low,0.0,0.0,0.0,0.0
near_resistance,0.0,0.0,0.0,0.0
lower_low_streak,1.0,1.0,0.0,0.0
down_candle_ratio,0.5,0.5,0.0,0.0
downtrend_confirmed,0.0,0.0,0.0,0.0
trend_strength,0.00011574024964506443,0.00011574024964506443,0.0,0.0
bear_market_strength,0.0,0.0,0.0,0.0
volume_on_advance,40.6255,40.6255,0.0,0.0
volume_on_decline,0.0,0.0,0.0,0.0
panic_selling,0.0,0.0,0.0,0.0
volatility_asymmetry,0.0,0.0,0.0,0.0
below_support,1.0,1.0,0.0,0.0
ma_200,112494.81599999999,112494.81599999999,0.0,0.0
ema_12,113545.40350447712,113545.40350447712,0.0,0.0
rejection_from_resistance,0.0,0.0,0.0,0.0
down_candle_body,0.0,0.0,0.0,0.0
resistance_rejection_count,5.0,5.0,0.0,0.0
bearish_divergence,0.0,0.0,0.0,0.0
distribution_signal,1.0,1.0,0.0,0.0
down_candle,0.0,0.0,0.0,0.0
vp_in_value_area,1.0,1.0,0.0,0.0
vp_distance_to_poc_pct,0.0019189203448776483,0.0019189203448776483,0.0,0.0
vp_value_area_low,113174.645,113174.645,0.0,0.0
vp_value_area_high,113831.91,113831.91,0.0,0.0
vp_poc,113503.2775,113503.2775,0.0,0.0
support_breakdown,0.0,0.0,0.0,0.0
vp_percentile,0.8412056020022376,0.8412056020022376,0.0,0.0
vp_volume_imbalance,0.0495744868992555,0.0495744868992555,0.0,0.0
vp_poc_momentum,-0.0008265610660336264,-0.0008265610660336264,0.0,0.0
vp_va_midpoint_momentum,0.0,0.0,0.0,0.0
vp_strong_buy_pressure,0.0,0.0,0.0,0.0
vp_strong_sell_pressure,0.0,0.0,0.0,0.0
vp_poc_distance_normalized,2.105004402519727,2.105004402519727,0.0,0.0
vwap_above,1.0,1.0,0.0,0.0
vp_value_area_width_pct,0.005790713840840406,0.005790713840840406,0.0,0.0
vp_price_in_va_position,0.8320160057205437,0.8320160057205437,0.0,0.0
vwap_momentum,0.000357854244143585,0.000357854244143585,0.0,0.0
vp_below_va_breakout,0.0,0.0,0.0,0.0
vp_above_va_breakout,0.0,0.0,0.0,0.0
vwap_cross_up,0.0,0.0,0.0,0.0
vwap_overbought,1.0,1.0,0.0,0.0
vwap_oversold,0.0,0.0,0.0,0.0
vwap_bullish_divergence,0.0,0.0,0.0,0.0
vwap_cross_down,0.0,0.0,0.0,0.0
vwap_bearish_divergence,0.0,0.0,0.0,0.0
vp_vwap_bullish_confluence,0.0,0.0,0.0,0.0
vp_vwap_bearish_confluence,0.0,0.0,0.0,0.0
vwap_near_vp_support,1.0,1.0,0.0,0.0
vwap_near_vp_resistance,0.0,0.0,0.0,0.0
institutional_activity_zone,0.0,0.0,0.0,0.0
vp_vwap_trend_alignment,0.0,0.0,0.0,0.0
vp_efficiency,63.328359317971056,63.328359317971056,0.0,0.0
