feature,builtin_score,perm_score,composite_score
rsi_raw,1.0,1.0,1.0000000238418578
rsi_deviation,0.8112593,0.9087719298245622,0.850264381442154
rsi_direction,0.63737136,0.9017543859649125,0.7431245890207459
rsi_extreme,0.5729257,0.9005847953216375,0.7039893421513296
macd_strength,0.54985726,0.9005847953216375,0.6901482793671346
macd_direction,0.47881526,0.8923976608187139,0.6442482367384506
macd_divergence_abs,0.4158347,0.8865497076023399,0.6041207090421032
price_distance_ma_short,0.40314484,0.8865497076023399,0.5965067968173337
price_direction_ma_short,0.3950254,0.8853801169590647,0.5911672941285966
price_distance_ma_long,0.37761045,0.8795321637426906,0.5783791354908583
price_direction_ma_long,0.37648827,0.866666666666667,0.5725596425930661
atr,0.35652375,0.859649122807018,0.5577739093910186
atr_pct,0.34278342,0.8432748538011701,0.5429800002477325
negative_momentum,0.27389476,0.8362573099415209,0.49883978415650954
down_candle_ratio,0.2604888,0.8327485380116961,0.4893927030779466
volume_ma_short,0.25314057,0.8000000000000003,0.4718843472003938
volume_surge,0.23422298,0.7941520467836258,0.4581946087057828
volatility,0.23359329,0.6959064327485379,0.41851854414967765
price_range,0.2328539,0.680701754385965,0.4119930503347464
resistance,0.21624415,0.5660818713450292,0.35617924521541033
support,0.1832386,0.4947368421052631,0.30783789576668485
near_resistance,0.1419183,0.08771929824561359,0.12023870620811178
below_support,0.094697796,0.0,0.056818678975105286
