feature,builtin_score,perm_score,composite_score
close_change_1,1.0,1.0,1.0000000238418578
close_change_2,0.683356,0.9929245283018853,0.8071834274058066
close_change_3,0.61070645,0.9268867924528299,0.7371785920745921
close_change_4,0.5978839,0.9174528301886781,0.725711478039903
close_change_5,0.5823731,0.9127358490566035,0.714518195165778
sma_10,0.5793825,0.9080188679245282,0.7108370346843071
sma_20,0.5729553,0.9033018867924527,0.7050939409237987
ema_10,0.4730596,0.9033018867924527,0.6451565234166271
macd,0.44536668,0.9009433962264144,0.6275973787847553
macd_signal,0.44492838,0.8985849056603772,0.6263910068655913
macd_diff,0.42714307,0.8938679245283018,0.6138330160446887
rsi,0.42514288,0.8938679245283018,0.6126329063244585
bb_high,0.39039114,0.8915094339622646,0.5908384642511046
bb_low,0.36682338,0.8915094339622646,0.5766978136211074
bb_mid,0.36572734,0.8915094339622635,0.5760401806741389
volatility,0.35495856,0.886792452830188,0.5676921255183667
volume_sma,0.3453824,0.886792452830188,0.5619464314771145
volume_ratio,0.34123063,0.886792452830188,0.5594553745580166
ema_3,0.32351843,0.886792452830188,0.5488280452084988
ema_5,0.3079936,0.886792452830188,0.5395131356311291
price_mom_3,0.30787152,0.886792452830188,0.5394398964238614
price_mom_5,0.30556878,0.8844339622641508,0.537114864531553
rsi_5,0.29256454,0.8844339622641498,0.5293123185072302
rsi_7,0.27795562,0.8844339622641498,0.5205469637546896
volatility_5,0.27017093,0.8844339622641498,0.5158761500749944
volatility_10,0.26145926,0.8844339622641498,0.5106491505537389
volume_spike,0.23506019,0.8844339622641498,0.4948097079429982
volume_trend,0.23321126,0.8844339622641498,0.49370034629443865
price_vs_ema3,0.2327601,0.8844339622641498,0.4934296518001912
price_vs_ema5,0.23164092,0.8844339622641498,0.49275814587215166
body_size,0.23097995,0.8844339622641498,0.4923615663681386
upper_shadow,0.22307944,0.8844339622641498,0.48762125367263537
lower_shadow,0.22045061,0.8844339622641498,0.4860439508591054
nearest_support,0.21904573,0.8844339622641498,0.4852010219726918
nearest_resistance,0.2040781,0.8844339622641498,0.4762204422984479
distance_to_support_pct,0.1985293,0.8844339622641498,0.4728911727104543
distance_to_resistance_pct,0.1906754,0.8844339622641498,0.4681788220439313
num_support_touches,0.18495068,0.8844339622641498,0.46474400008062106
num_resistance_touches,0.18211566,0.8844339622641498,0.46304298782685976
upper_trendline_slope,0.17776309,0.8844339622641498,0.4604314401183484
lower_trendline_slope,0.17000955,0.8844339622641498,0.45577931994537096
price_vs_upper_trendline_pct,0.16990413,0.8844339622641498,0.4557160645161031
price_vs_lower_trendline_pct,0.16903336,0.8844339622641498,0.455193607452905
rsi_bullish_divergence,0.16868493,0.8844339622641498,0.4549845441613553
rsi_bearish_divergence,0.16357754,0.8844339622641498,0.45192011291125994
macd_bullish_divergence,0.16135865,0.8844339622641498,0.4505887835655568
macd_bearish_divergence,0.1578593,0.8844339622641498,0.4484891652498601
double_top,0.15502952,0.8844339622641498,0.4467912971411107
double_bottom,0.15306777,0.8844339622641498,0.4456142469678281
higher_highs_lows,0.14670761,0.8844339622641498,0.44179815644363146
lower_highs_lows,0.14637169,0.8820754716981126,0.4406532071109086
volume_ma_ratio,0.1441507,0.8820754716981126,0.439320611166504
volume_price_correlation,0.14346947,0.8820754716981126,0.43891187231495676
price_volume_trend,0.13923505,0.8820754716981126,0.43637122433140574
total_range,0.13878593,0.8797169811320753,0.43515835550596127
body_to_range_ratio,0.1297533,0.8797169811320753,0.4297387808280171
upper_shadow_ratio,0.12683906,0.8797169811320753,0.4279902264194668
lower_shadow_ratio,0.12592934,0.8797169811320743,0.42744439688493574
bullish_engulfing,0.123612925,0.8797169811320743,0.4260545506792244
bearish_engulfing,0.122718744,0.8773584905660382,0.42457464559460606
hammer,0.12112885,0.8773584905660382,0.4236207105078789
shooting_star,0.1175043,0.8773584905660382,0.421445975438604
doji,0.11711296,0.8773584905660371,0.4212111703910915
distance_from_recent_high_pct,0.116396904,0.8773584905660371,0.4207815401115505
bearish_candle_count,0.11246068,0.8773584905660371,0.418419810370454
red_candle_volume_ratio,0.11160654,0.8749999999999999,0.4169639259576797
strong_selling_pressure,0.10377946,0.8749999999999989,0.4122676759958263
price_momentum_near_resistance,0.096412025,0.8749999999999989,0.407847216725349
rsi_from_recent_peak,0.09000848,0.8726415094339617,0.40306169392084157
consecutive_up_candles,0.08556692,0.8726415094339617,0.40039675907706296
