exit_threshold,total_trades,wins,losses,win_rate,avg_return,ml_exit_pct,avg_hold,long_trades,short_trades,ml_score,return_score,wr_score,composite_score
0.25,66,56,10,84.84848484848484,3.506506394928335,43.93939393939394,77.06060606060606,24,42,0.7323232323232323,1.1688354649761117,1.1313131313131313,0.9848499884992148
0.3,48,38,10,79.16666666666666,3.826979698625216,0.0,115.5,25,23,0.0,1.2,1.0555555555555554,0.6838888888888888
0.35,48,38,10,79.16666666666666,3.826979698625216,0.0,115.5,25,23,0.0,1.2,1.0555555555555554,0.6838888888888888
0.4,48,38,10,79.16666666666666,3.826979698625216,0.0,115.5,25,23,0.0,1.2,1.0555555555555554,0.6838888888888888
0.45,48,38,10,79.16666666666666,3.826979698625216,0.0,115.5,25,23,0.0,1.2,1.0555555555555554,0.6838888888888888
0.5,48,38,10,79.16666666666666,3.826979698625216,0.0,115.5,25,23,0.0,1.2,1.0555555555555554,0.6838888888888888
0.55,48,38,10,79.16666666666666,3.826979698625216,0.0,115.5,25,23,0.0,1.2,1.0555555555555554,0.6838888888888888
0.6,48,38,10,79.16666666666666,3.826979698625216,0.0,115.5,25,23,0.0,1.2,1.0555555555555554,0.6838888888888888
0.65,48,38,10,79.16666666666666,3.826979698625216,0.0,115.5,25,23,0.0,1.2,1.0555555555555554,0.6838888888888888
0.7,48,38,10,79.16666666666666,3.826979698625216,0.0,115.5,25,23,0.0,1.2,1.0555555555555554,0.6838888888888888
