window,total_trades,long_trades,short_trades,avg_leveraged_return,total_return_pct,win_rate,final_capital,avg_position_size
0,10,7,3,2.3183977681404393,8.83813957833956,80.0,10883.813957833956,43.345673
1,7,5,2,2.240346274110806,5.783325112616549,85.71428571428571,10578.332511261655,43.45688
2,9,7,2,2.4886503265772184,9.017299981682191,88.88888888888889,10901.729998168219,44.514317
3,10,8,2,3.0237710163801017,11.685044068875614,90.0,11168.504406887561,43.570797
4,17,14,3,3.1094873115165345,21.982388866604417,76.47058823529412,12198.238886660441,44.809795
5,15,12,3,3.2820247815909127,19.635405657591765,80.0,11963.540565759176,42.86418
6,13,10,3,3.4735954474316717,18.23275605509718,76.92307692307693,11823.275605509718,43.92937
7,15,12,3,3.4684805472250058,23.917973390617643,80.0,12391.797339061764,45.084503
8,16,9,7,3.093287054699113,20.209228353082672,81.25,12020.922835308267,43.742134
9,13,7,6,3.1263298930733465,16.439321106465123,100.0,11643.932110646512,43.664913
10,16,8,8,3.1048422332023566,21.517545879861682,100.0,12151.754587986168,45.69663
11,22,9,13,3.2237201918742566,31.805652582182866,90.9090909090909,13180.565258218287,45.429073
12,20,8,12,3.127992769136507,28.467176669912785,90.0,12846.717666991279,45.64058
13,16,7,9,3.1823075682502755,22.8939318286221,87.5,12289.39318286221,46.245693
14,17,7,10,3.4356371077237324,26.855729472938854,88.23529411764706,12685.572947293886,46.034275
15,15,8,7,3.4562650583379524,24.276842564077743,86.66666666666667,12427.684256407774,45.619278
16,14,9,5,3.0767452250467118,18.33159568330906,100.0,11833.159568330906,43.852196
17,15,10,5,2.955334043586808,18.591458538695424,100.0,11859.145853869542,43.137367
18,22,14,8,2.899262045297405,28.764799594987906,95.45454545454545,12876.47995949879,44.882946
19,19,13,6,2.949540834628381,23.350821163142246,94.73684210526315,12335.082116314225,43.34318
20,15,10,5,2.7515857103734653,16.408431688883358,93.33333333333333,11640.843168888336,43.39791
21,12,8,4,2.836398410319898,13.412609493335259,91.66666666666666,11341.260949333526,44.019463
22,16,6,10,2.132756788408375,13.730683134434402,68.75,11373.06831344344,44.48523
23,13,4,9,2.045930208643478,9.126875360876566,69.23076923076923,10912.687536087657,40.74165
24,16,5,11,2.160546389540213,13.622152568873336,75.0,11362.215256887333,42.96133
25,20,7,13,2.5621191552557283,22.194247746118254,80.0,12219.424774611825,43.226097
26,22,9,13,2.832942182612385,28.986766156163103,81.81818181818183,12898.67661561631,43.48893
27,17,10,7,3.515383661735477,28.518237560003872,100.0,12851.823756000387,44.39815
28,15,9,6,3.761982918135523,26.886331030578948,100.0,12688.633103057895,44.309185
29,11,7,4,3.8956255554392687,20.421435302614718,100.0,12042.143530261472,45.128254
30,8,5,3,3.581652045321726,11.353899480445726,100.0,11135.389948044573,40.224743
31,6,5,1,3.3001721123558836,6.991237578309592,100.0,10699.12375783096,38.839066
32,3,2,1,3.573828358881226,3.9155338280121397,100.0,10391.553382801214,40.394638
33,4,3,1,3.308022565953649,4.881907308575828,100.0,10488.190730857583,41.317863
34,4,4,0,2.619860283256629,4.187152653554222,100.0,10418.715265355422,45.889378
35,5,4,1,3.4544696734210625,7.018048755720647,100.0,10701.804875572065,45.182644
36,6,4,2,3.7538772352180496,9.270126314305854,100.0,10927.012631430585,44.343746
37,7,4,3,3.4991842572331233,10.181948224132212,100.0,11018.194822413221,45.403248
38,12,6,6,3.2282342197850777,17.458142423458632,83.33333333333334,11745.814242345863,45.74953
39,12,5,7,4.059505405150227,23.120038982599887,83.33333333333334,12312.003898259989,45.472904
40,10,3,7,4.438857251087196,21.37135409399205,80.0,12137.135409399205,46.47626
41,9,3,6,4.347260492578926,18.738716279842084,77.77777777777779,11873.871627984208,46.57742
42,9,3,6,4.542121656455787,19.847288477795374,77.77777777777779,11984.728847779537,46.732597
43,6,4,2,3.2628664578050257,7.0439337603873176,100.0,10704.393376038732,40.076317
44,6,4,2,2.689931684511404,5.4460209807738105,100.0,10544.602098077381,39.6816
