name,rsi_period,macd_fast,macd_slow,macd_signal,bb_period,atr_period,ema_period,total_return,win_rate,max_drawdown,sharpe_ratio,num_trades,final_balance,return_score,wr_score,sharpe_score,dd_score,composite_score
ATR_21,14,12,26,9,20,21,12,1733.5258018640734,78.50467289719626,-18.82328119417562,136.54561946665075,321,183352.58018640731,1.0,0.9911046053372348,1.0,0.0,0.898220921067447
COMBINED (ATR21+BB25+EMA8),14,12,26,9,25,21,8,1499.7973475391693,77.9874213836478,-20.21765082861027,133.50636738535272,318,159979.73475391694,0.6595154966710532,0.7904826854588156,0.8385369083419703,0.14120053895608675,0.7054860033254758
BB_25,14,12,26,9,25,14,12,1303.8539567186601,78.52760736196319,-28.411109593991313,126.77631464161402,326,140385.39567186602,0.3740744779606407,1.0,0.4809966010695451,0.9709093658091272,0.601711920396923
EMA_8,14,12,26,9,20,14,8,1383.9043092955822,78.3132530120482,-26.216752689915324,125.6532960117239,332,148390.4309295582,0.49068802686372864,0.916860211932065,0.4213351925646665,0.7486982893013069,0.573982356401529
EMA_20,14,12,26,9,20,14,20,1332.9668219212847,78.48484848484848,-26.287859095907407,125.40129985761278,330,143296.68219212847,0.4164847162759933,0.9834154801022263,0.40794766265917215,0.7558988640996697,0.5603974623768792
Baseline,14,12,26,9,20,14,12,1376.0727514525224,78.2089552238806,-27.648375091294223,124.58605486493896,335,147607.27514525224,0.4792793856258099,0.876407121021397,0.36463701469224696,0.8936712216315983,0.5542871679320809
BB_15,14,12,26,9,15,14,12,1178.0857419556762,78.3132530120482,-27.74537038992022,127.62509825271871,332,127808.57419556762,0.19086132035931508,0.916860211932065,0.5260890193131478,0.9034934295339889,0.5414153891728656
RSI_10,10,12,26,9,20,14,12,1399.5782026370587,77.5,-25.290307927171966,124.95036470622252,320,149957.82026370586,0.5135210097156367,0.6014307228915649,0.3839913136189641,0.6548820611062307,0.49342717905121275
RSI_20,20,12,26,9,20,14,12,1378.8229176800164,77.27272727272727,-25.36422226718201,122.6931473408634,330,147882.29176800165,0.4832856970727622,0.5132803943044866,0.26407454310895795,0.6623669807346142,0.41950830329977057
MACD_16_35,14,16,35,9,20,14,12,1221.2487961461154,77.98165137614679,-26.820695508192415,119.90307058457496,327,132124.87961461153,0.25373920619756574,0.7882447220072931,0.11584912218857879,0.8098564279565271,0.36109599793181263
MACD_8_17,14,8,17,9,20,14,12,1047.0673814669024,75.9493670886076,-28.69838255528514,122.95313308647899,316,114706.73814669023,0.0,0.0,0.2778865274890694,1.0,0.21115461099562777
ATR_7,14,12,26,9,20,7,12,1161.0541460753711,76.30057803468208,-22.467012347860038,117.72241937746253,346,126105.41460753711,0.1660505009793868,0.13622118531930752,0.0,0.36898164590333127,0.11395755194801067
