window,total_trades,long_trades,short_trades,return_pct,final_capital,win_rate,ml_exit_rate,avg_hold_time
0,19,8,11,12.956344417681048,11295.634441768105,78.94736842105263,100.0,9.473684210526315
1,10,8,2,7.2714766136643085,10727.14766136643,80.0,100.0,9.4
2,12,10,2,8.080421558735761,10808.042155873576,83.33333333333334,100.0,10.166666666666666
3,11,9,2,10.78591751767779,11078.591751767779,100.0,100.0,10.909090909090908
4,6,5,1,4.439632336966788,10443.963233696679,100.0,100.0,7.166666666666667
5,6,5,1,4.439632336966788,10443.963233696679,100.0,100.0,7.166666666666667
6,31,5,26,2.098157367702279,10209.815736770228,38.70967741935484,100.0,4.451612903225806
7,30,4,26,2.909360073987809,10290.936007398781,36.666666666666664,100.0,3.8333333333333335
8,27,1,26,-0.5633062299808079,9943.66937700192,29.629629629629626,100.0,3.8518518518518516
9,26,1,25,-0.7213273179075259,9927.867268209247,26.923076923076923,100.0,3.8461538461538463
10,27,2,25,-3.8424243894374923,9615.75756105625,25.925925925925924,96.29629629629629,6.37037037037037
11,3,3,0,-5.530435563229203,9446.95644367708,33.33333333333333,33.33333333333333,34.0
12,5,4,1,-3.2210367766849592,9677.896322331504,40.0,60.0,30.6
13,22,4,18,-3.2933023564138963,9670.66976435861,31.818181818181817,90.9090909090909,9.818181818181818
14,24,3,21,3.2256417565078666,10322.564175650787,41.66666666666667,95.83333333333334,7.083333333333333
15,23,2,21,7.255127899564086,10725.512789956409,43.47826086956522,100.0,6.304347826086956
16,23,2,21,7.255127899564086,10725.512789956409,43.47826086956522,100.0,6.304347826086956
17,20,0,20,3.3255814616628596,10332.558146166286,40.0,100.0,4.45
18,3,0,3,3.3978470413917967,10339.78470413918,100.0,100.0,8.666666666666666
19,1,1,0,1.3969180071404663,10139.691800714047,100.0,100.0,42.0
20,1,1,0,1.3969180071404663,10139.691800714047,100.0,100.0,42.0
21,1,1,0,1.3969180071404663,10139.691800714047,100.0,100.0,42.0
22,1,1,0,1.3969180071404663,10139.691800714047,100.0,100.0,42.0
23,11,11,0,4.674150608258824,10467.415060825882,45.45454545454545,90.9090909090909,22.818181818181817
24,10,10,0,3.277232601118358,10327.723260111836,40.0,90.0,20.9
25,10,10,0,3.277232601118358,10327.723260111836,40.0,90.0,20.9
26,39,12,27,22.050745056808264,12205.074505680826,48.717948717948715,94.87179487179486,12.76923076923077
27,39,12,27,22.050745056808264,12205.074505680826,48.717948717948715,94.87179487179486,12.76923076923077
28,29,2,27,18.773512455689907,11877.35124556899,51.724137931034484,96.55172413793103,9.96551724137931
29,29,2,27,18.773512455689907,11877.35124556899,51.724137931034484,96.55172413793103,9.96551724137931
30,32,1,31,12.776425903819181,11277.642590381918,50.0,100.0,7.6875
31,8,0,8,3.733369783681137,10373.336978368114,75.0,100.0,15.5
32,8,0,8,3.733369783681137,10373.336978368114,75.0,100.0,15.5
33,8,0,8,3.733369783681137,10373.336978368114,75.0,100.0,15.5
34,13,5,8,6.522326628761366,10652.232662876137,69.23076923076923,92.3076923076923,13.076923076923077
35,10,6,4,14.850222166410276,11485.022216641028,80.0,80.0,22.6
36,6,6,0,11.522445143400963,11152.244514340096,66.66666666666666,66.66666666666666,27.666666666666668
37,9,6,3,15.729267767732145,11572.926776773214,77.77777777777779,77.77777777777779,30.77777777777778
38,16,6,10,16.281793467680018,11628.179346768002,75.0,81.25,21.6875
39,15,5,10,11.258962718299955,11125.896271829995,73.33333333333333,86.66666666666667,22.866666666666667
40,15,5,10,6.068207635634298,10606.82076356343,73.33333333333333,93.33333333333333,15.933333333333334
41,30,5,25,7.281444080544261,10728.144408054426,60.0,96.66666666666667,9.433333333333334
42,26,5,21,6.573297374218074,10657.329737421807,53.84615384615385,100.0,7.576923076923077
43,20,5,15,3.2628803261561368,10326.288032615614,50.0,100.0,6.6
44,19,4,15,4.207652129726739,10420.765212972674,52.63157894736842,100.0,6.894736842105263
45,26,11,15,3.196005358545954,10319.600535854595,50.0,96.15384615384616,5.769230769230769
46,12,12,0,1.117645402206308,10111.76454022063,50.0,91.66666666666666,9.583333333333334
47,14,13,1,-6.43345878724378,9356.654121275622,42.857142857142854,78.57142857142857,9.642857142857142
48,18,15,3,-1.649465484003158,9835.053451599684,55.55555555555556,83.33333333333334,13.11111111111111
49,15,12,3,-3.1460412492592695,9685.395875074073,53.333333333333336,80.0,13.0
50,7,4,3,-2.8914498277482017,9710.85501722518,57.14285714285714,71.42857142857143,22.857142857142858
51,6,3,3,-2.7671108862094664,9723.288911379053,66.66666666666666,66.66666666666666,20.166666666666668
52,4,2,2,4.7839933032406226,10478.399330324062,100.0,100.0,25.25
53,6,6,0,-0.5111749464217064,9948.88250535783,16.666666666666664,100.0,4.5
54,6,6,0,-0.5111749464217064,9948.88250535783,16.666666666666664,100.0,4.5
55,7,6,1,0.49884784591688003,10049.884784591688,28.57142857142857,100.0,7.714285714285714
56,7,6,1,0.49884784591688003,10049.884784591688,28.57142857142857,100.0,7.714285714285714
57,7,6,1,0.49884784591688003,10049.884784591688,28.57142857142857,100.0,7.714285714285714
58,1,0,1,1.0100227923385865,10101.002279233859,100.0,100.0,27.0
59,1,0,1,1.0100227923385865,10101.002279233859,100.0,100.0,27.0
61,1,1,0,1.8736040920716006,10187.36040920716,100.0,100.0,9.0
62,1,1,0,1.8736040920716006,10187.36040920716,100.0,100.0,9.0
63,1,1,0,1.8736040920716006,10187.36040920716,100.0,100.0,9.0
64,1,1,0,1.8736040920716006,10187.36040920716,100.0,100.0,9.0
65,5,1,4,6.744641936387779,10674.464193638778,100.0,100.0,14.0
66,4,0,4,4.871037844316179,10487.103784431618,100.0,100.0,15.25
67,4,0,4,4.871037844316179,10487.103784431618,100.0,100.0,15.25
68,12,0,12,7.461117370413449,10746.111737041345,66.66666666666666,100.0,9.083333333333334
69,14,0,14,8.078209617363337,10807.820961736334,71.42857142857143,100.0,10.0
70,10,0,10,3.207171773047157,10320.717177304716,60.0,100.0,7.9
71,10,0,10,3.207171773047157,10320.717177304716,60.0,100.0,7.9
72,14,4,10,7.189751879270552,10718.975187927055,71.42857142857143,100.0,12.928571428571429
73,6,4,2,6.6615595826134815,10666.155958261348,100.0,100.0,21.5
74,9,9,0,7.862221268118429,10786.222126811843,100.0,100.0,17.333333333333332
75,10,10,0,9.036715522181147,10903.671552218115,100.0,100.0,17.4
76,12,11,1,12.688037190133436,11268.803719013344,100.0,100.0,18.5
77,11,7,4,6.699782652979774,10669.978265297977,90.9090909090909,90.9090909090909,19.636363636363637
78,22,7,15,3.2626918386543005,10326.26918386543,72.72727272727273,86.36363636363636,16.863636363636363
79,28,2,26,-7.299843016173726,9270.015698382627,50.0,82.14285714285714,18.75
80,51,1,50,-16.518239061021685,8348.176093897831,41.17647058823529,88.23529411764706,15.509803921568627
81,56,0,56,-17.731683849752407,8226.83161502476,41.07142857142857,89.28571428571429,15.464285714285714
82,82,0,82,-27.200221166401224,7279.9778833598775,35.36585365853659,90.2439024390244,12.0
83,73,1,72,-24.52692210661995,7547.307789338005,32.87671232876712,90.41095890410958,13.452054794520548
84,61,1,60,-16.605612206314472,8339.438779368553,34.42622950819672,91.80327868852459,12.114754098360656
85,40,1,39,-8.129952192285728,9187.004780771427,37.5,90.0,14.375
86,36,3,33,-10.236275321711037,8976.372467828896,36.11111111111111,86.11111111111111,14.0
87,7,3,4,1.2379364258680834,10123.793642586808,71.42857142857143,71.42857142857143,41.42857142857143
88,6,2,4,2.9376461887074585,10293.764618870746,83.33333333333334,83.33333333333334,25.833333333333332
89,7,2,5,5.516981829223987,10551.698182922399,85.71428571428571,85.71428571428571,16.142857142857142
90,7,3,4,5.904978581130363,10590.497858113036,85.71428571428571,85.71428571428571,11.714285714285714
91,4,1,3,5.573424831334105,10557.34248313341,100.0,100.0,7.5
92,5,2,3,6.253585516305211,10625.358551630521,100.0,100.0,6.6
93,4,2,2,5.763491777982053,10576.349177798205,100.0,100.0,3.0
94,4,2,2,3.6093862168282245,10360.938621682822,100.0,100.0,2.75
95,5,3,2,-5.80410757508971,9419.589242491029,60.0,60.0,6.6
96,6,4,2,-4.9263469596734835,9507.365304032652,66.66666666666666,66.66666666666666,6.833333333333333
97,7,3,4,-4.3888130987556,9561.11869012444,71.42857142857143,71.42857142857143,6.428571428571429
98,8,4,4,-3.6823596454332073,9631.76403545668,75.0,75.0,14.125
99,6,4,2,-4.82838564083153,9517.161435916847,66.66666666666666,66.66666666666666,17.833333333333332
