stop_loss_pct,avg_return_pct,std_return,sharpe_ratio,win_rate,avg_trades,stop_loss_exits,ml_exits,max_hold_exits,sl_exit_pct,windows
-1.0,15.477385764554635,20.23482115951438,0.7648886858225181,57.01578724174081,38.28,341,3478,9,8.908045977011495,100
-1.5,15.458025069873784,20.07247782359635,0.7701104570010777,59.001919636546354,37.14,243,3449,22,6.54281098546042,100
-2.0,14.90631980504661,19.48233671656184,0.7651197092992865,59.13129664767409,36.6,208,3430,22,5.683060109289618,100
-2.5,15.02191237789466,19.651223223240738,0.7644263264043955,58.46837261831865,36.17,136,3453,28,3.7600221177771633,100
-3.0,14.628416820601284,18.68638041895463,0.7828384359425151,59.11571274666031,35.83,123,3432,28,3.4328774769746024,100
-3.5000000000000004,14.703026997194158,18.71363652018077,0.7856851863793777,59.63554129326275,35.51,89,3429,33,2.5063362433117433,100
-4.0,13.925052940635625,15.504049405363038,0.8981558673193328,60.005589815951396,35.33,79,3421,33,2.2360600056609115,100
-5.0,13.95375940688664,16.310160576483483,0.8555255689515173,59.93016642499102,34.98,44,3411,43,1.257861635220126,100
-6.0,13.86878240571129,15.970854668883383,0.8683807280979371,59.83822794458928,34.88,29,3416,43,0.831422018348624,100
-7.000000000000001,13.8534516183093,15.732344759836657,0.8805713216809224,59.74943145568821,34.7,16,3411,43,0.46109510086455335,100
-8.0,13.80277888265957,15.672047521109684,0.8807259462471463,59.693555649932144,34.62,8,3407,47,0.2310803004043905,100
