entry_time,exit_time,side,entry_price,exit_price,hold_time,pnl_pct,pnl_dollars,balance,exit_reason
2025-07-14 23:05:00,2025-07-15 00:20:00,SHORT,119911.5,119770.0,15,0.000720147775651209,3.600738878256045,10003.600738878256,trailing_stop
2025-07-15 09:10:00,2025-07-15 09:40:00,LONG,117146.7,116872.4,6,-0.013366034211804614,-66.85423485854035,9936.746504019717,stop_loss
2025-07-15 09:55:00,2025-07-15 10:20:00,SHORT,116802.3,117051.4,5,-0.012530653934040382,-62.25696583607834,9874.489538183638,stop_loss
2025-07-15 10:25:00,2025-07-15 11:15:00,LONG,117056.4,116590.1,10,-0.019934199240707502,-98.42002092721722,9776.069517256421,stop_loss
2025-07-15 12:00:00,2025-07-15 12:20:00,LONG,117226.6,116986.4,4,-0.012196092013246538,-59.614921680176984,9716.454595576244,stop_loss
2025-07-15 12:45:00,2025-07-15 12:50:00,SHORT,116887.9,117194.3,1,-0.014485259808757237,-70.37268461845755,9646.081910957786,stop_loss
2025-07-15 14:35:00,2025-07-15 14:50:00,SHORT,117058.0,116103.3,3,0.028623144082420584,138.0505961840878,9784.132507141874,take_profit
2025-07-15 18:25:00,2025-07-15 18:35:00,SHORT,116852.5,116306.4,2,0.014693652253910044,71.88232033305987,9856.014827474934,take_profit
2025-07-15 21:10:00,2025-07-15 21:35:00,LONG,116956.8,117471.8,5,0.013613340994281648,67.08664534555614,9923.10147282049,take_profit
2025-07-16 04:10:00,2025-07-16 04:25:00,SHORT,117293.5,117543.7,3,-0.012532442121686098,-62.18034743787043,9860.92112538262,stop_loss
2025-07-16 12:30:00,2025-07-16 12:55:00,LONG,118978.3,118605.2,5,-0.01654346380810638,-81.56689587617952,9779.35422950644,stop_loss
2025-07-16 14:50:00,2025-07-16 15:00:00,LONG,118832.0,119299.9,2,0.011749966339033063,57.45354150709064,9836.807771013531,take_profit
2025-07-16 20:25:00,2025-07-16 20:45:00,LONG,119598.6,119715.6,4,-8.69107163461785e-05,-0.42746200496922065,9836.380309008562,trailing_stop
2025-07-17 01:20:00,2025-07-17 01:45:00,SHORT,118618.5,117766.3,5,0.024737507218519778,121.66376444910256,9958.044073457664,take_profit
