direction,threshold,signals,signal_rate,trades_per_week,precision,recall,f1,accuracy
LONG,0.5,576,11.340815121086829,45.72076541459957,0.1701388888888889,0.7,0.2737430167597765,0.8976176412679662
LONG,0.55,476,9.371923607009254,37.78313253012048,0.19117647058823528,0.65,0.29545454545454547,0.9145501082890333
LONG,0.6,413,8.131521953140382,32.78242381289865,0.20823244552058112,0.6142857142857143,0.31103074141048825,0.9249852333136445
LONG,0.65,369,7.265209686946249,29.28986534372785,0.23035230352303523,0.6071428571428571,0.33398821218074654,0.9332545776727702
LONG,0.7,326,6.4185863358928925,25.876683203401843,0.25153374233128833,0.5857142857142857,0.351931330472103,0.9405394762748572
LONG,0.75,280,5.512896239417208,22.225372076541458,0.26785714285714285,0.5357142857142857,0.3571428571428571,0.9468399291199054
LONG,0.8,223,4.39062807639299,17.700921332388376,0.27802690582959644,0.44285714285714284,0.3415977961432507,0.952943492813546
SHORT,0.5,102,2.008269344359126,8.096385542168674,0.4803921568627451,0.3602941176470588,0.411764705882353,0.972435518802914
SHORT,0.55,94,1.85075802323292,7.4613749114103465,0.5106382978723404,0.35294117647058826,0.4173913043478261,0.9736168537113605
SHORT,0.6,82,1.6144910415436111,6.5088589652728555,0.573170731707317,0.34558823529411764,0.4311926605504587,0.9755857452254381
SHORT,0.65,73,1.4372908052766293,5.794472005669737,0.6438356164383562,0.34558823529411764,0.44976076555023925,0.9773577475881079
SHORT,0.7,65,1.2797794841504233,5.15946137491141,0.7076923076923077,0.3382352941176471,0.4577114427860697,0.9785390824965544
SHORT,0.75,60,1.1813349084465445,4.762579730687455,0.7666666666666667,0.3382352941176471,0.46938775510204084,0.9795235282535932
SHORT,0.8,58,1.141957078164993,4.603827072997873,0.7931034482758621,0.3382352941176471,0.4742268041237113,0.9799173065564087
